index,name,release_date,summary,meta_score,user_review
377,The Legend of Zelda: A Link Between Worlds,2013-11-22,The Legend of Zelda: A Link Between Worlds is a new game with a new storyline set in world of the Super NES classic The Legend of Zelda: A Link to the Past.,91,9
506,Pushmo,2011-12-08,"(Also known at ""Pullblox"" in the UK/EU) Pushmo is a puzzle-action game in which you pull and push blocks to create a place to stand so you can jump up and down on your way to a goal. At first glance, some places may look out of reach, but if you use your head, you just may see a way to the goal...",90,8.3
600,3D Gunstar Heroes,2015-08-20,"The Gunstar 9 planet was peaceful for many years until the vicious dictator Colonel Red kidnapped the Gunstar twins' older brother and used mind control to make him his slave. Now, face many different enemies and bosses in Gunstar Heroes, as you battle to stop the dictator from unleashing ""Golden Silver the Destructor"" with apocalyptic consequences!",89,7.9
858,Pokemon Y,2013-10-12,"Pokemon X and Y are the first mainline Pokemon games made for the 3DS and feature a mix of Pokemon old and new as well as a trio of new starting Pokemon - a watery toad Froakie, a fiery deer Fennekin, and a grass monster Chespin.",88,7.5
897,Fire Emblem Fates: Revelation,2016-03-10,Requires full version of Fire Emblem Fates: Conquest or Fire Emblem Fates: Birthright.,88,7.3
1315,Monster Hunter 4 Ultimate,2015-02-13,"Take off on an epic journey, traversing a vast world hunting larger than life beasts as you look for the source of a mysterious virus. Travel with a caravan of fellow hunters and merchants as you make your way across multiple locations, each with its own unique look and feel.",86,8.6
1490,Luigi's Mansion: Dark Moon,2013-03-24,"(Also known as ""Luigi's Mansion 2"" in the UK/EU) Luigi is back on a mission to remove a bunch of stubborn ghosts from some spooky mansions. Armed with his trusty Poltergust ghost-sucking vacuum cleaner, Mario's brother takes center stage to capture these pesky phantoms.",86,8.4
2390,Kid Icarus: Uprising,2012-03-23,Kid Icarus: Uprising is the long-awaited franchise follow-up to the NES classic.,83,8.7
2460,Persona Q: Shadow of the Labyrinth,2014-11-25,"Persona Q is the inaugural Persona game for 3DS. The game takes the characters from Persona 3 and Persona 4, puts them into an all new adventure. The game is in the style of Etrian Odyssey, where teams of five will navigate dungeons in a first-person view. New characters, enemies, the presence of Etrian Odyssey's F.O.Es will provide players with all new challenges.",83,5.8
2879,Pokemon Alpha Sapphire,2014-11-21,"Pokemon players first enjoyed Pokemon Ruby Version and Pokemon Sapphire Version when it launched in 2003 for the Game Boy Advance. Now, a whole new generation of Pokemon fans will experience the storyline that unfolds in Pokemon Omega Ruby and Pokemon Alpha Sapphire.",82,7.5
2898,Cave Story 3D,2011-11-08,"Originally released as a PC game and later for WiiWare/DSiWare, Cave Story is a side scrolling 2D action game.",82,8.1
2913,Resident Evil: Revelations,2012-02-07,Resident Evil: Revelations tells the story of what happens between Resident Evil 4 and Resident Evil 5 on the Nintendo 3DS.,82,8.5
3097,Skylanders: Spyro's Adventure,2011-10-16,"The small purple dragon returns, bringing with him new friends in this peripheral-based adventure.",82,5.1
3541,Phoenix Wright: Ace Attorney Trilogy,2014-12-09,"Prepare for intense courtroom showdowns by investigating crime scenes, collecting evidence, and questioning witnesses.",81,8.5
3710,Star Fox 64 3D,2011-09-09,Star Fox 64 is being remade in 3-D for the 3DS.,81,8.1
4955,Professor Layton VS Phoenix Wright Ace Attorney,2014-08-29,Defense attorney Phoenix Wright and archeologist Hershel Layton collaborate to solve puzzles in a medieval city.,79,8.3
6987,Mario & Luigi: Paper Jam,2016-01-22,"Paper Mario jumps out of a book and into the bizarre adventures of Mario & Luigi, resulting in hijinks. Become the superstar team of Mario, Luigi and Paper Mario to take on quests, take down enemies, and untangle these two unique universes in this playful new entry in the Mario & Luigi series.",76,7.4
7136,Crimson Shroud,2012-12-13,"Follow the tale of a young ""Chaser"" named Giauque, as he and his team find themselves drawn into the mystery of the Original Gift, the Crimson Shroud.",76,8
7452,Kingdom Hearts 3D: Dream Drop Distance,2012-06-05,"With a colorful cast of characters appearing in the Disney worlds in 3D, players can delve into a lifelike story and world in KINGDOM HEARTS 3D (tentative title). Get to better know all the familiar and beloved characters through this title.",75,8.3
7687,Ridge Racer 3D,2011-03-22,"The Ridge Racer series returns to set the racing world on fire with brand new features, breathtaking stereoscopic 3D visuals, a wider variety of machines, new environments, expanded customization and updated drift mechanics. Ridge Racer 3D will be the hottest racing game on the Nintendo 3DS. Drift through hairpin turns at blistering speeds to edge out the rest of the pack with powerful drift-tuned cars. Using the stereoscopic 3D power of the Nintendo 3DS, players will be able to experience a level of intimacy with the on-screen races like never before. Players can now accurately judge the distance between them and the competition with 3D depth of field for some of the most intense arcade racing available.",75,7.4
8802,Sega 3D Classics Collection,2016-04-26,"A collection of 9 classic SEGA games in one package. From the arcades straight to your Nintendo 3DS, experience the classics that defined the genres in gameplay. The games are: -Power Drift -Puyo Puyo 2 -Maze Walker -Fantasy Zone II: The Tears of Opa-Opa -Fantazy Zone II W -Sonic The Hedgehog -Thunder Blade -Galaxy Force II -Altered Beast",73,7.5
9020,Picross e,2013-06-13,Picross e features 150 puzzles of varying difficulties and dimensions.,73,7.3
9199,Pro Evolution Soccer 2011 3D,2011-03-25,Pro Evolution Soccer 2011 3D brings soccer to the 3DS.,73,6.9
9397,Order Up!!,2012-06-21,"Aspiring chefs, get ready to sharpen your knives and put your short order skills to the test in Order Up.",72,6.5
9546,Mighty Gunvolt,2014-08-29,"From the 8-bit generation. For the 8-bit generation! For the Nintendo 3DS e-shop comes MIGHTY GUNVOLT, along with retro graphics and sounds! This game is reminiscent of the 80s, not just in looks, but also with simple controls that create a surprising amount of complexity and fun. Accompanying Gunvolt in this adventure are the angel Ekoro from Gal&#9734;Gun and Beck from Mighty Number 9. Each character possesses different skills that will force the player to finish each stage in different and creative ways.",72,6.9
9964,Nintendogs + Cats: French Bulldog & New Friends,2011-03-27,Interact with your virtual puppies and cats in 3D.,71,7.1
10133,Nintendogs + Cats: Golden Retriever & New Friends,2011-03-27,Interact with your virtual puppies and cats in 3D.,71,7.3
10141,Tomodachi Life,2014-06-06,"What happens when friends, family, and celebrities become Mii™ characters and live together on an island? Tomodachi Life happens! Start by creating Mii characters and customizing everything about them. Have fun recreating your best friend, your favorite actor, mom and dad, co-workers...whoever! Then watch as they rap, rock, eat donuts, fall in love, break up, go shopping, play games, and live their crazy Mii lives.",71,7.7
11469,Shinobi,2011-11-15,Betrayed by your friend you must battle an ancient and evil clan in this epic reboot of the acclaimed Shinobi series. Shinobi captures the classic side-scrolling action from the original Shinobi games. This coupled with intense combat in exotic locations and over the top boss encounters is what players have loved since the early days of the series.,69,7.4
11593,Hey! Pikmin,2017-07-28,"Captain Olimar has crashed on an unknown planet inhabited by Pikmin. And his first 2D platformer gives you a new perspective on his adorably fierce partners. Touch the screen to throw Pikmin into action: swim with Blue Pikmin, fly with Winged Pikmin, and more to survive hostile wildlife, solve ecological puzzles, and escape. Help Captain Olimar explore and escape a new world by guiding him and his Pikmin with the stylus. Olimar is a half-pint Hero on a personal mission to save himself. Get a new perspective on the powers and personalities of Pikmin. Tap the touchscreen to choose Pikmin and toss them at objects or enemies. [Nintendo]",69,6.8
12706,Code of Princess,2012-10-09,Code of Princess is an action RPG brawler for Nintendo 3DS with cooperative and competitive multiplayer.,67,7.4
13699,Resident Evil: The Mercenaries 3D,2011-06-28,"Set in the Resident Evil universe, Resident Evil: The Mercenaries 3D will deliver relentless action with players competing against the clock to defeat as many enemies as possible in a fixed time. Featuring Mercenaries missions from Resident Evil 4 and Resident Evil 5, now fully realised in stunning 3D, Resident Evil: The Mercenaries 3D will add brand new modes and well known characters from the series to enrich and extend the Mercenaries experience. Furthermore, the title will take advantage of the Nintendo 3DSÃ¯Â¿Â½ WiFi Connectivity, allowing players from around the world to join forces in co-op gameplay, regardless of location.",65,6.7
14547,Samurai Warriors Chronicles 3,2015-06-30,"In the Story Mode, players control either a uniquely customized character or one of the much loved, historically-inspired Samurai. Stories and lives unfold in multiple ways offering numerous resolutions to large scale battles and multiple endings affected by the players’ choices, actions, and affiliations.",63,6.5
14829,Minecraft: New Nintendo 3DS Edition,2017-09-13,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",62,7
14852,LEGO City Undercover: The Chase Begins,2013-04-21,LEGO City Stories is an open world game for the Wii U and 3DS.,62,6.7
14995,Rayman 3D,2011-03-22,"One of the most popular franchises of all time lands on Nintendo 3DS with an outstanding platform experience that will take advantage of the Nintendo 3DS specifications with impressive graphics, stunning 3D effects and full use of the Circle Pad. An adaptation of the acclaimed Rayman 2 original game on Dreamcast, Rayman 3D will feature major updates on key game play elements such as accessibility, progression and learning curve.",61,6.5
