index,name,release_date,summary,meta_score,user_review
23,NFL 2K1,2000-09-07,"In the end, NFL 2K1 is a deeper, more refined version of the original game.",97,6.2
97,Jet Grind Radio,2000-10-30,"Join a graffiti crew, stamp your territory and protect it from rival taggers, but watch out for the angry cops!",94,8.3
414,Marvel vs. Capcom 2,2000-06-29,"The world's most insane tag-team fantasy fighter is bigger than ever! An unprecedented 56 characters include the debut of Jill from Resident Evil, Servbots from Mega Man and Cable from Marvel Comics fame. Experience arcade perfect fighting with 3 on 3 tag-team battles, unbelievable control and hyper-fast animation. Pick a fight with legendary Capcom characters and Super Heroes from the Marvel Universe and prepare to be amazed.",90,8.8
1010,Metropolis Street Racer,2001-01-15,"Enter a new age of driving, a new form of thinking and feeling, and totally immerse yourself in the most advanced driving game ever created. Your 'Kudos' is the only path to success, since this is a unique test of skill, style and precision, which spans the streets of London, Tokyo and San Francisco. Be astounded by the realism, push your limits round 250+ different circuits, in hundreds of challenging events. Indulge up to 8 people in a unique multiplayer experience, and prepare yourself for the ultimate Internet Kudos Challenge",87,8.8
3402,Seaman,2000-08-09,"Now that you have obtained your own Seaman egg, use the faithful recreation of Dr. Gasse's laboratory to follow in his footsteps, uncovering the secrets of the Seaman. When the Seaman egg hatches, the adventure begins...",82,8.5
4400,NHL 2K2,2002-02-14,NHL 2K2 is a great game of hockey that any hockey fan who owns a Dreamcast should really consider picking up.,80,8.7
5688,NCAA College Football 2K2,2001-08-29,The game capably competes against any other college football product on the market.,78,8.5
8842,Dave Mirra Freestyle BMX,2000-11-20,"Dial in to progressive freestyle BMX with 10-Time WorlD ChamPion Dave Mirra! *Ride as 10 top pros: Mirra, Nyquist, Ramsdell, Laird, McMurray, Harkin, Garcia, Butler, Kagy and Tim Mirra. *Innovative trick modifier lets you create your own riding style with more than 1,300 tricks! *Spin, grind ans stall your way through 12 free-roaming vert, dirt and street levels. *10 different multi-player games including Sickest Trick and Gnarliest Crash. *Killer soundtrack: Sublime, Cypress Hill, Rancid, Social Distortion, Deftones, Pennywise, Dropkick Murphys, 59 Times the Pain, Primer 55 and Swingin' Utters.",73,7.2
10719,Soldier of Fortune,2001-07-24,The main problem affecting the Dreamcast port of Soldier of Fortune is the game's ridiculously long loading times.,70,8.6
11229,Ready 2 Rumble Boxing: Round 2,2000-10-23,"Ready 2 Rumble Round 2 is a solid arcade-style boxing game, and like most arcade games, it wears thin fairly quickly.",70,7.4
12245,Charge 'N Blast,2001-02-07,"Charge 'N Blast doesn't have any glaring flaws, but it also doesn't excel in any general category.",68,
12715,Star Wars: Demolition,2000-11-19,"Star Wars Demolition might seem like some half-baked attempt to cash in on the Star Wars license, though it's actually a competently executed game.",67,7.8
13257,WWF Royal Rumble,2000-08-01,"Immerse yourself in the chaos of a ""Royal Rumble"" match with up to 9 Superstars in the ring at one time. Better watch your back, because in this type of match there are no allegiances or friendships.",66,6.4
15200,Virtua Athlete 2000,2001-08-10,"The top 7 events from Track and Field come to life like never before as players vie for the top sports honor - ""The World's Greatest Athlete!"" Using the latest 3D graphics, Virtua Athlete 2000 challenges you to use quick reflexes, sharp eye-hand coordination, and split-second timing to master each of the events.",61,8
15379,Atari Anniversary Edition,2001-07-02,"Atari produced many memorable arcade games during video gaming's early days and now the best have been gathered together in a new compilation. In Arcade Anniversary Edition, you relive the fast action, sights, and sounds of 12 classic Atari games: Asteroids, Asteroids Deluxe, Battlezone, Centipede, Crystal Castles, Gravitar, Millipede, Missile Command, Pong, Super Breakout, Tempest, and Warlords. Each Atari title is faithfully reproduced down to the last detail, and each one is just as easy and fun to play as the original.",60,7.6
18252,Dead or Alive Xtreme 3: Fortune,2016-03-24,"(Available in Japan and Asian territories only) The nine playable characters in the game were selected based on the total PlayStation Store purchases of dashboard themes from Dead or Alive 5 Last Round between August 20 and September 7, 2015.",43,7.5
3,SoulCalibur,1999-09-08,"This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your head spin!",98,8.4
