index,name,release_date,summary,meta_score,user_review
1546,Shantae: Risky's Revenge,2010-10-04,The sequel to the critically acclaimed Shantae is here!,85,7.7
1718,The Legend of Zelda: Four Swords Anniversary Edition,2011-09-28,The Legend of Zelda: Four Swords is a free DSiWare download.,85,7.5
1760,Professor Layton and the Curious Village,2008-02-10,"(Also known as ""Layton Kyouju no Fushigi na Machi"" and ""Professor Layton and the Mysterious Village"") Marking Level 5's first foray onto the DS, Professor Layton is an old-fashioned point-and-click adventure which requires your use of skills such as reasoning, knowledge and creativity to solve various puzzles.",85,8.5
2117,Professor Layton and the Diabolical Box,2009-08-24,"(Also known as ""Professor Layton and Pandora's Box) Professor Layton needs your help! Get your wits working with over 150 puzzles, and help unravel the mystery of the Elysian Box. [Nintendo]",84,8.5
2749,Kirby Mass Attack,2011-09-19,"One day, an evildoer with a magic cane appears and splits Kirby into 10 pieces. Kirby sets off on a journey to return to his original form. Players use the touch screen to control a mass of Kirby characters in a new and novel way. Swipe the touch screen to launch them in a mass attack against enemies, then tap the enemies into submission.",83,8.1
5479,Dragon Quest VI: Realms of Revelation,2011-02-14,Dragon Quest VI: Realms of Reverie for Nintendo DS brings the classic console title into the handheld scene. Explore two parallel worlds while distinguishing reality from illusion and seeking to discover the true meaning of your very existence. [Square Enix],78,8.4
5995,Spider-Man: Web of Shadows,2008-10-21,"New York City has been invaded and only Spider-Man can save it. The fate of New York is in your hands...Take Control. Spider-Man: Web of Shadows gives you an unprecedented level of gameplay choice, including, for the first time, control over the game's direction and outcome. Choose how Spider-Man fights, which powers to upgrade, who in the Marvel universe to fight with or against, and the fate of New York City itself. Choose wisely. [Activision]",77,7.3
6284,WordJong,2007-11-16,"WordJong features simple engrossing gameplay: Use a set of lettered tiles to create words, clearing the board as you use them. Aim for high-scoring words, earn bonus tiles, and work to clear the board with no leftover letters. WordJong boasts several new features exclusive to the DS , including local and online wireless play as well as DS Download play, a variety of Solo Play modes, a 100,000+ word dictionary, full support for both the Control Pad and Touch Screen, and much, much more.",77,7.7
7329,de Blob 2,2011-02-22,This is the follow-up title to 2008's popular hit de Blob.,75,8.3
7736,Feel the Magic: XY/XX,2004-11-16,"Also known by its Japanese title ""Kimi no Tame Nara Shineru"" (I Would Die For You), or as Project Rub (in the UK/EU) the game is part dating sim, part mini-game bonanza. Our hero has a sunny beauty on his mind, and he's doing everything he can to score a date with her. He enlists the help of the Rub Rabbits – a suave gang of super performers who wear plastic, members-only rabbit ears – to help him get her attention. Through a series of madcap performances like defending himself from bulls and blowing out giant candles, our hero manages to impress the girl. When he finally takes her out, the craziness really begins: a rival suddenly appears and a dark cloud is cast over their love. Will he ever be able to feel the magic of true love? [Sega]",75,7.5
8706,My Spanish Coach,2007-11-06,Playing My Spanish Coach for 15 to 20 minutes a day is all you need to become fluent in Spanish. Other Features include: 8 touchpad mini-games to sharpen your mastery of the language at your own pace. Track your progress with charts showing your performance learning the language. Simple touch screen interface makes it perfect for anyone of any age. [Ubisoft],73,
9994,Electroplankton,2006-01-09,"Electroplankton is a ""touchable media art"" game that presents the player with ""soothing music"" and graphics on the DS's two screens. The game features 10 ""digital planktons"" that respond to players when they touch the screen or use the microphone. Planktons react by making gestures and sounds of their own. The game takes further advantage of the DS's microphone by recording and playing back sounds and voices as tunes.",71,7
10787,Photo Dojo,2010-05-10,[DSiWare] Photo Dojo is an extremely simplistic fighting game that involves just one attack button and eight directions. [Nintendo Life],70,7
11754,Earthworm Jim,2010-05-10,[DSiWare] The classic action platformer returns on the Nintendo DSi with a never-before-seen feature.,69,7.1
11973,Drawn to Life: SpongeBob SquarePants Edition,2008-09-15,"FINALLY fans of SpongeBob can interact with SpongeBob's world like never before! Customize your game as you puzzle, race, platform and fight your way through to defeat ""DoodleBob"". Side-scrolling platforming action. Explore unique worlds that have their own special mechanics and goals. Over 20 levels, each with their own specific objective(s) that you need to complete before you can advance to the next stage. The action increases as you complete the objectives and conquer the levels. Puzzle, race, platform and fight your way through the game! Draw your own original character and control it. [THQ]",68,7
13079,DJ Star,2009-11-10,Two main modes include Career and Creation.,66,
13082,The Sims 2: Castaway,2007-10-22,"Help your Sims build a life from scratch after washing ashore on a deserted tropical island. Overcome the forces of nature to help them become the ultimate survivors and thrive in this undiscovered paradise while unearthing clues that will lead them back to civilization. Build shelters, craft unique items, and discover many useful treasures and ancient mysteries hidden deep within a diverse jungle environment filled with plants, fruits, and even wildlife. Your Sims change as they take on the challenges of island life and learn to survive in style. Create a new life for your Sims on an uncharted island in The Sims 2 Castaway. [Electronic Arts]",66,4.1
13681,Dig Dug: Digging Strike,2005-10-18,"This 3D adventure combines the classic arcade digging action with new baddies, environments, weapons, mini-games and strategies to deliver the most action-packed Dig Dug game to date. Whether tackling the underground alone or wirelessly with a friend, gamers discover 15 stages with more than 80 areas in Dig Dug Digging Strike. Players explore 3D environments on the top screen of the DS, then plunge underground on the bottom screen to dig and connect fault lines that will trap monsters. Only by sinking enemy bosses do players move to the next level – and they encounter some familiar faces along the way. The dreaded Pooka and Fygar are back to threaten Dig Dug, along with a host of never-before-seen bosses. Dig Dug is armed with a series of thrilling weapons to combat monsters as well as elements from the environment including rolling rocks, quicksand and flowing lava. [Namco]",65,7.1
13886,GoldenEye 007,2010-09-14,Goldeneye makes its DS debut in the 2010 holiday season.,64,6.7
14153,Exit DS,2008-11-05,"As professional escape artist Mr.Esc, players maneuver through burning buildings and sinking ships as they dodge disaster and save survivors along the way. Exit DS makes a return to the portable scene with all-new Touch-Screen functionality and over 100 stages to solve.",64,6.7
14161,Avatar: The Last Airbender,2006-10-10,"Bring to life an adventure of intrigue, deceit and revelation in Avatar The Last Airbender. Play as Aang, Katara, Haru and Sokka as you grow your team into an unstoppable force making discoveries in a thrilling blend of magic and martial arts combat. Use your fully customizable bending powers to master the four elements of Earth, Air, Water and Fire and explore the beautifully detailed environments of the Avatar nations. Single-player game featuring unique martial arts style combat. Fully customizable ""bending powers"" mastering the four elements of Water, Air, Earth and Fire. Journey through all the Great Nations of the Avatar world. Enjoy environments and characters from the TV show plus never before seen enemies and creatures. [THQ]",64,7.3
14603,Transformers: War for Cybertron - Autobots,2010-06-22,"Players can now take on the role of a Transformers character in the final, epic war that will determine the survival of their entire race.",62,8.1
15448,Konductra,2006-10-31,"Konductra challenges players to create and destroy lines with colored tiles to either earn points or attack an opponent. This unique, but elegant puzzle title offers four game modes, including Task, Score, VS. CPU, and VS. Human. In both versus modes, the objective is to beat the opponent by filling up the rival’s board as quickly as possible by destroying lines on the player’s own board and sending them to the opponent’s board. Gamers destroy lines by matching tiles and using the stylus to trace from like colored conductors running along the four edges of the screen. [O3 Entertainment]",60,
15847,Line Rider 2: Unbound,2008-09-16,"(Also known as ""Line Rider Freestyle"" in the UK/EU) In Line Rider, the sled-stealing scumbag Chaz is up to no good and only you, as the clever and cunning Bosh, can defeat him. For Bosh to save his true love Bailey, players must solve over 40 mind-bending puzzles created by the #1 Line Rider player in the world, TechDawg. [Genius Products]",59,5.6
15934,Black Sigil: Blade of the Exiled,2009-06-09,"Bel Lenora is a world where people are born with magic at their command. Years ago, a single man walked the land with no magic in his veins. He brought death and tragedy in his wake and was banished by a brave General at a great cost. It has been fifteen years since his banishment and once again, a young man with no magic walks the land of Bel Lenora. Join Kairu, a young knight, born with a cursed spirit. [Graffiti Entertainment]",58,7.5
16027,Boogie,2007-11-27,"Boogie on Nintendo DS introduces new gameplay modes and mini-games not found in the Wii version for easy gaming on the go. The game’s unique modes include DS Download Play and Multi-Card Play, three main dancing gamplay modes including Copycat, Freestyle and Choreography as well as more than 10 mini-games. Players can also dive into the career mode for a deeper experience as they embark on a quest to become the Boogie Master. [Electronic Arts]",58,
16075,Fullmetal Alchemist: Dual Sympathy,2006-12-12,"Dual Sympathy is a side-scrolling action game that sees players take the role Edward Elric as he battles Homunculi and sets out on a quest to retrieve the Philosopher's Stone. The six playable characters in the game will have the ability to concoct weapons from various items (hence, the alchemy) and turn them on enemies. The DS version also features voice work from the actors in the television series, unlockable content, and 10 touch-screen-based minigames.",58,6.8
