index,name,release_date,summary,meta_score,user_review
693,Advance Wars 2: Black Hole Rising,2003-06-24,"Just when you thought you'd seen the last of them, the Black Hole Army is storming back in this sequel to the award-winning Game Boy Advance strategy game. With new COs under his command, Sturm is leading a new invasion force, and it'll take advance strategy to stop him!",89,8.9
1472,Moto Racer Advance,2002-12-05,,86,
1749,Final Fantasy IV Advance,2005-12-12,"Final Fantasy II for the Super Nintendo is back on the Game Boy Advance as Final Fantasy IV Advance. This game is a faithful port of the Super Nintendo game (called Final Fantasy IV in Japan) with some graphical improvements. You can play as Cecil, a soldier who has defected from dark knighthood to rid the land of evil. Final Fantasy II was one of the first games to set the standard for the Square Enix style of RPGs.",85,8.4
2818,Boktai: The Sun Is in Your Hand,2003-09-16,"Boktai: The Sun Is in Your Hand is the first Game Boy Advance game that uses sunlight to influence gameplay. In the game, you'll follow the adventures of Django, a young vampire hunter on a quest to rid the world of evil. As Django, you must overcome traps, defeat enemies, and fight through the deepest parts of dungeons. Watch out for the amount of sunlight--Django is stronger by day, while the vampires are stronger by night. The game features a solar sensor on the cartridge and a real-time clock system.",83,7.8
4210,Colin McRae Rally 2.0,2002-09-16,The popular rally driving game comes to the Game Boy Advance.,80,
4351,Ultimate Brain Games,2003-03-18,"Welcome to the most comprehensive and feature-rich compilation of classic brain challenges ever available for portable gaming. Now you can enjoy Chess, Checkers, Backgammon, Mahjong, Dominoes, 4-in-a-Row, Sink the Ships, and Reversi... while on the go! Pre-set and adjustable computer AI allows multiple challenge levels from beginner to highly advanced for one player modes.",80,8.5
4646,Kirby & the Amazing Mirror,2004-10-18,"Once again, Kirby must save the kingdom from evil. But this time he'll need some backup. As Kirby, you can call up one of four alter egos for help during your quest. Each character features new copy abilities that range from arrow-shooting to melee moves. Practice your skills in new side games, such as Crackity Hack and Speed Eaters. In addition to new abilities and subgames, Kirby & the Amazing Mirror also introduces new multiplayer modes.",80,8.8
4734,The Pinball of the Dead,2002-06-16,You don't have to know or appreciate the source material to really enjoy The Pinball of the Dead.,79,7.2
5246,Lunar Legend,2002-12-08,"When One Legend Falls, ANOTHER MUST RISE! Embark on a desperate struggle to realize one hero's dream to become a legend.",79,7.8
5377,Dave Mirra Freestyle BMX 3,2002-11-26,The game just feels like a BMX video game on a handheld system ought to feel--like a miniaturized version of its console cousin without any compromises or cutbacks.,78,
6394,GT Advance 2: Rally Racing,2002-06-30,Get behind the wheel of the world's top rally cars as you span the globe in quest of a championship. Listen to your navigator as you fly over jumps and skid around obstacles on your way to the top of the rally racing circuit!,77,6.2
6894,Monster Rancher Advance,2001-11-28,"Previous games in the Monster Rancher series may have been grander in size or graphical splendor, but Monster Rancher Advance may be the greatest entry yet for a number of reasons.",76,7.8
8566,Spyro: Season of Ice,2001-10-29,Hold Spyro in the palm of your hand! A careless wizard has cursed himself with a big headache and itsthe wings of 100 fairies he nees for the cure. Now it is up to Spyro to save the fairies and restore order to the dragon realms!,74,6.9
8685,James Bond 007: Everything or Nothing,2003-11-17,"Think like Bond, act like Bond, and experience an entirely new Bond adventure. James Bond, the world's greatest secret agent, returns in Everything or Nothing with new guns and gadgets, combat skills, and clever tricks--and it's up to you to put them to good use. Travel through four exciting continents including the Valley of the Kings in Egypt and the French Quarter in New Orleans. The game also features two-player co-op missions and four-player multiplayer arena modes.",73,8.3
9609,Shaman King: Master of Spirits 2,2005-08-02,This anime-inspired role-playing game will allow you to command the spirits of vanquished opponents in subsequent battles.,72,8.5
9671,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,2003-04-08,"This is a game designed specifically for Yu-Gi-Oh! enthusiasts, and they'll be the people who get the most out of it.",72,8.6
9863,Wings,2003-02-13,"Take to the skies at the dawn of aviation in Europe's most brutal conflict! Relive the action, glory and daring of World War I through the eyes of a rookie pilot in the Allied or German forces. Soar to the top of your squadron as you fight through 220 missions over two separate campaigns. Strage the front lines, bomb enemy bases and engage cunning Aces in thrilling first-person dogfights. Defend the free world as an Allied pilot or conquer it in the name of the Kaiser!",72,
10016,Aero the Acro-bat,2002-05-14,"Little seems to have been lost in the translation from the 1993 original, but then again, it was a mediocre game to begin with.",71,7.5
10293,Shrek: Hassle at the Castle,2002-10-10,,71,7.4
10820,Wing Commander: Prophecy,2003-06-04,"Wing Commander: Prophecy is a triumph on the Game Boy Advance, but it's not without its flaws.",70,8.3
12697,Mega Man Battle Network 5: Team Protoman,2005-06-21,"Team Protoman is the first edition of Mega Man Battle Network 5. In the game, you can join forces with characters from previous installments of the Mega Man Battle series, and you can play in a new fighting mode. Team up with other cyberheroes in an effort to stop an evil organization from taking control of the global Internet.",67,8.6
13316,Tomb Raider: The Prophecy,2002-11-12,Tomb Raider: The Prophecy delivers the full Tomb Raider experience with no compromises.,66,8.3
13400,The Muppets: On With The Show!,2003-03-18,,65,
13496,Monster Force,2002-09-29,Digital Eclipse is giving Universal's monsters a facelift in this Gauntlet-inspired GBA game.,65,
13580,Dark Arena,2002-01-18,"Dark Arena is 20 levels of terrifying, non-stop action. You play the role of Angela Bradshaw, a special forces agent who is trapped in the bowels of a deadly labyrinth of maze-like passages crawling with bloodthirsty, genetic horrors. Armed with a deadly array of futuristic weaponry and your wits, you must make your escape.",65,7.8
13602,Mazes of Fate,2006-12-06,Mazes of Fate is an RPG for the Game Boy Advance and features 50 levels.,65,
14656,Mario Pinball Land,2004-10-04,"Jumping has always helped Mario perform heroic feats, but in Mario Pinball Land, the plumber must learn how to roll to rescue the princess. When Bowser kidnaps Peach and escapes to another dimension, a scientist transforms Mario into a ball to chase after the fiend. Now you must use your flippers to shoot a much rounder Mario into doors that lead to new areas. In his new form, Mario is also useful for knocking down enemies, picking up special bonuses, and finding power-ups.",62,4.8
15060,Dual Blades,2002-10-07,Dual Blades is better for those seeking vicarious thrills or a game that friends can play without hours of basic instruction.,61,
15324,The Powerpuff Girls: Mojo Jojo A-Go-Go,2001-11-27,"While the game can't be recommended as highly as the incredible cartoon it's based on, Powerpuff Girls: Mojo-Jojo A-Go-Go is a capable shooter in its own right.",60,7.8
15402,"Shaman King: Legacy of the Spirits, Sprinting Wolf",2005-02-08,Assume the role of Yoh Asakura in the ultimate quest to become Shaman King. Strategically change spirits during battles and use special items to defeat and capture your opponents. Build the strongest spirit party possible by gathering an array of spirits to prepare for the ultimate challenge.,60,8.2
15620,"Shaman King: Legacy of the Spirits, Soaring Hawk",2005-02-08,"Assume the role of Yoh Asakura in the ultimate quest to become Shaman King. Strategically change spirits during battles and use special items to defeat and capture your opponents. Build the strongest spirit party by gathering an array of spirits to prepare for the ultimate challenge. Features more than 1,000 types of spirits.",59,6.5
15648,Stuart Little 2,2002-07-12,"Stuart's new best friend. Margalo, has disappeared, and so has Mrs. Little's wedding ring. As Stuart, it's up to you to solve both mysteries. One thing's for sure--you're in for non-sto fun in this high-flying adventure!",59,
15722,Sega Rally Championship,2003-03-10,"It takes a driver with nerves of steel to take a high-powered racecar on the open road. Brave snowdrifts on ice-covered mountains, catch air off huge sand dunes in the desert, or careen around corners in the European countryside. Intensify the action by linking with 3 friends and going head-to-head in a 4-player race to the finish.",59,
15919,Hugo: The Evil Mirror,2005-04-24,"The evil witch Scylla has trapped Hugo in a mirror, and now it's up to you to rescue him. In Hugo and the Evil Mirror, you must save Hugo in three different worlds, each guarded by dangerous monsters. Use the freeze gun to turn enemies into ice cubes, and then push them over the edge of the levels or combine them with other frozen monsters to gain power-ups.",58,
15921,Disney's Magical Quest 3 Starring Mickey and Donald,2005-06-14,The next game in the Disney's Magical Quest series features more platforming action.,58,
15935,Shining Soul,2003-09-23,"Enter a world of magic and mystery, where your closest allies may sometimes turn out to be your worst enemies. Shining Soul puts you in the middle of a desperate struggle between the Dark Dragon and a group of warriors known as the Shining Fleet. In the final stage of the war, you can play one of four character classes: fighter, wizard, archer, or dragonute. Customize your character's color schemes, weapons, and armor, and then explore the world of Shining Soul either alone or with three of your friends.",58,8.2
16138,Shaun Palmer's Pro Snowboarder,2001-11-27,It's Tony Hawk's Pro Skater 2 on snow--albeit with a few caveats.,58,
16207,Star Wars: Jedi Power Battles,2002-11-21,THQ is bringing the Episode I-based 3D action game to the Game Boy Advance.,58,
16380,Shrek the Third,2007-05-15,"Save Far Far Away in this twisted fairy tale adventure. When the King falls ill, it's up to Shrek to find the true heir and save Far Far Away. Journey with Shrek, Donkey, and Puss-in-Boots on this all new twisted fairy tale adventure. Along the way, meet new friends, conquer bold enemies, and visit never before seen lands from the movie and beyond.",57,
16565,Justice League: Injustice for All,2002-11-17,"When global catastrophe strikes and the world is in peril, the call goes out for the Justice League, the greatest super heroes of all time. Fighting for truth, justice and freedom: Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl and Martian Manhunter have banded together to fight for the common good against the Injustice League.",56,
16603,Ice Age: Scrat's Nutty Adventure,2019-10-18,"Everyone’s favorite sabre-tooth squirrel, Scrat, is at it again in an all-new adventure! Guide Scrat through a hilarious 3D action-adventure, where you’ll face fierce prehistoric creatures, survive crazy calamities, and return the missing relics to their rightful home.",55,4.8
16665,SportsBarVR,2016-10-18,"At launch, the game features: Pool, Darts, Air Hockey, Skeeball, Shuffleboard, Chess and Checkers.",55,6
16817,Bitlogic - A Cyberpunk Arcade Adventure,2019-06-27,,54,
16966,The Great Escape (2003),2003-07-22,"The Nazis have constructed the highest-security prisoner of war camp in history. As the Allies' top escape artist you must command your squad of POWs to break through the walls and wreak havoc on the soft underbelly of the Reich. You will command four unique soldiers, each with their own skills, strengths, and stories through their capture, escape, and vengeance in the heart of the evil Nazi empire. Use advanced espionage skills in stealth missions, a wide variety of weapons in combat sorties, and a huge array of authentic vehicles in your fight for freedom. Superstar Steve McQueen is digitally resurrected for the fistfights, shootouts, and vehicular mayhem of this WWII classic. You are the new mastermind in this saga of indomitable spirit and daring heroism, can you pull off The Great Escape? [Gotham Games]",54,6.9
17679,LA Cops,2015-03-13,LA Cops is an action-packed 3D top down shooter set in 1970s LA with police trying to do a tough job in a tough town.,49,6.2
17811,Legend of the North: Konung,2000-12-31,"Epic fantasy role-playing. Your quest is to find the Dragon's Amulet and the eternal Bracelet Of Friendship, bringing order to the world. More than 60 non-linear quests, NPCs, and even monsters may join the party. Plus 50 magical artifacts, including teleportation and resurrection. [Strategy First]",48,6
17933,X-Men: Destiny,2011-09-27,"X-Men: Destiny has you playing a new recruit amongst comic's motley mutant band, and promises a branching storyline that features a deep element of choice.",47,4.9
17991,Rampage: Total Destruction,2006-11-14,"Rampage: Total Destruction offers a fresh take on an arcade classic complete with everyone's favorite monsters: George, Lizzie, and Ralph, along with a variety of new monsters to collect and play. Virtually everything in the environment can be damaged, broken, and utterly destroyed with plenty of hilarious results. Aided by power-ups, the Rampage: Total Destruction monsters are capable of acquiring a number of upgrades throughout the course of a single campaign. Players can annihilate cities all over the world in either one or two player mode in this reinvention of the Midway classic. [Midway]",46,5.6
18532,The Ripping Friends,2002-03-24,,38,
18558,NFL Blitz 20-02,2001-09-17,"NFL Blitz 2002 for the Game Boy Advance isn't just a mere distortion of football, but a botched imitation of NFL Blitz itself.",37,
18679,Mortal Kombat Advance,2001-12-12,Prepare for the fight of your life as you enter Mortal Kombat Advance™ and discover what awaits you.,33,3.4
18762,Mucha Lucha! Mascaritas of the Lost Code,2003-11-18,Mucha Lucha! Mascaritas of the Lost Code is a game so utterly devoid of challenge that actually calling it a game almost seems too generous.,26,3.9
53,The Legend of Zelda: A Link to the Past,2002-12-03,"Now you have a link to one of the greatest adventures in The Legend of Zelda series. The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode. In a Link to the Past, Link travels between the light world and the dark world, conquering fierce monsters and uncovering Hyrule's deepest secrets along the way. Also included is Four Swords, which lets you play with up to three other players, slashing through dungeons and collecting rupees. Whether you choose solo or competitive play, The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.",95,9
58,Tony Hawk's Pro Skater 2,2001-05-30,"Hawks back, in the worlds first 3D handheld skating game, and hes brought new pros (Caballero, Koston, Mullen), New tricks (Bluntsides, BS/FS Nose-and Tailsides, Heelflip Varials, Airwalks, and more), and new terrain (Insane street and vert levels) Tony Hawks Pro Skater 2 for Game Boy Advance. Get your hands on a legend.",95,6.9
96,Super Mario Advance 4: Super Mario Bros. 3,2003-10-21,"A combination of exciting platforming action, wild power-ups, and charming Mario style has made Super Mario Bros. 3 a classic. With Super Mario Advance 4: Super Mario Bros. 3, you have your chance to partake in the special adventure anywhere you go on your Game Boy Advance. Your mission is to rescue the Mushroom Kingdom monarchs who have been transformed into animals by Bowser and his mischievous offspring, and in the process save the princess kidnapped by Bowser. Traverse eight huge worlds and encounter fun minigames and frantic boss battles as you explore the first Mario game to use an overworld map.",94,8.9
161,Mario Kart Super Circuit,2001-08-26,"Whoever hands out driver's licenses in the Mushroom Kingdom is about to be in some serious trouble. Classic Mario Kart action is back once again, this time in a colorful, lightning-fast game that you can take anywhere. Mario, Luigi, Peach, Toad, Wario, Yoshi, and Bowser are all tearing up the track, tossing Koopa Shells and laying banana peels along the way. Mario Kart: Super Circuit puts your driving skills to the test on 40 tracks, each littered with wild weapons and obstacles. Four players can compete in Mario Kart: Super Circuit using only one Game Pak. If each player has a copy of the game, bonus features and new modes of play become available.",93,7.8
213,Advance Wars,2001-09-09,"The battle lines have been drawn, and an elite group of sly strategists are massing troops at your borders. You'll have to command ground, air and naval forces if you hope to survive the coming wars, and it won't be easy. With 114 maps to battle on and both Single-Pak and Multi-Pak link modes, Advance Wars brings turn-based strategy to a depth never before seen on a handheld!",92,8.9
223,Super Mario World: Super Mario Advance 2,2002-02-09,"Mario hasn't even had a chance to savor his victory in the original Super Mario Advance, and already he's back for more in Super Mario World: Super Mario Advance 2. This game is a re-creation of the Super NES classic Super Mario World, featuring every last secret exit and all 74 levels of platform-jumping action. Once again, Princess Peach has been kidnapped by the ever-diabolical Bowser, and Mario and Luigi set out on a massive adventure to rescue her. As either Mario or Luigi, you'll solve puzzles, shoot fireballs, fly, and discover the hidden secrets in Dinosaur Island.",92,9
266,Metroid Fusion,2002-11-17,"While lending mission support on planet SR388, interstellar bounty hunter Samus Aran is attacked by an X parasite, an organism with the ability to mimic the abilities of any creature it infects. Near death, Samus is saved by a vaccin made from the DNA of the last Metroid--the X parasite's only natural predator. When the X spread to a research station in orbit around SR388, a weakened Samurs is forced to exterminate them all...or die trying.",92,9.1
268,Final Fantasy VI Advance,2007-02-05,"This title are more than a simple port of the SNES classic — every aspect of the games has been reviewed and enhanced. Additionally, a host of brand-new elements has been seamlessly merged with the original game, providing unexpected surprises for longtime fans. With new dungeons, new job classes, and other exciting features, both old-school players and newcomers can enjoy this genre-defining FINAL FANTASY title in a portable format.",92,8.7
11390,Prehistorik Man,2001-10-16,"At best, Prehistorik Man is a weekend diversion from the GBA's more substantial fare.",69,8
334,Yoshi's Island: Super Mario Advance 3,2002-09-24,"When Baby Mario falls from the sky, the big-hearted Yoshis vow to reunite him with his twin brother on the far side of the island. It won't be easy, but you must help them take on a meddling Magikoopa and his entire cast of underhanded underlings. Your journey spans the island's jungles, caves, and snowcapped peaks--each area filled with hidden rooms, secret passages, charming minigames, demented bosses, and all-new pals. Sure, Yoshi looks cute, but he packs some pretty amazing firepower--he can throw eggs, hover, stomp, pound the ground, slurp up enemies, and morph into a toy submarine.",91,8.9
365,Castlevania: Aria of Sorrow,2003-05-06,"The year is 2035 and Soma Cruz is about to witness the first solar eclipse of the 21st century when he suddenly blacks out -- only to awaken inside a mysterious castle. As Soma, you must navigate the castle's labyrinths while confronting perilous monsters at every turn. But beware, you must escape before the evil consumes you!",91,8.9
370,Golden Sun,2001-11-11,"In a dark time, an epic adventure begins as evil slowly envelops the world! The forces of darkness are pursuing the lost art of Alchemy, and as they draw ever closer to their foul purpose, mankind's future hangs in the balance. You and your companions are the last hope: armed with noble weapons, mysterious Psynergy and a host of elemental creatures, you must find a way to stem the evil tide. Your ordinary life is over, as a Golden Sun rises above you and forever broadens your horizon!",91,9
380,Castlevania: Circle of the Moon,2001-06-10,"Count Dracula has been resurrected and evil will reign supreme unless he is stopped. As Nathan Graves, you'll hunt down the count and use your whip and a variety of special items to destroy his minions. Battle your way through Dracula's castle and rid the world of evil once and for all!",91,8.3
411,Mario & Luigi: Superstar Saga,2003-11-17,"An evil witch has replaced Princess Peach's fair speech with explosives! Mario and Luigi must once again come to her rescue, but this time they employ the help of Bowser, their sworn enemy. Mario and Luigi must learn new moves and combine powers to fight off enemies and move closer to the witch's castle. Guide this unlikely bunch through an abundance of minigames such as Border Jump and Mystery Carts. Combine the powers of Mario and Luigi to pull off special tag-team moves. Immerse yourself in this bright, cartoonish, and humorous world, complete with hit music featured in previous Mario games.",90,8.9
436,Tony Hawk's Pro Skater 3,2002-03-04,"You may not be able to live like the legend, but now you can skate like him. Skate as the legendary Tony Hawk or choose from a dream team of 12 top pro skaters, including old favorites like Lasek, Thomas, Muska, and Steamer, as well as new talent like Gilfberg, Caballero, Koston, and Mullen. Or enjoy full customization abilities with the enhanced Create-a-Skater (now including female skaters) and the Skatepark Editor. Travel from L.A. to Tokyo, Suburbia to Skater's Island performing challenges and meeting goals. New moves include the Revert, which allows you to link vert tricks, and flatland tricks such as Caspers, the Primo, and Handstand Manual. If you're good, you can even unlock hidden pro footage.",90,7
554,Metroid: Zero Mission,2004-02-09,"She's battled baddies on nearly every Nintendo system, and now, Samus Aran returns to her roots. Metroid: Zero Mission relives the story that started it all--revealing for the first time full details of her meeting with the Metroids. The plotline will be familiar to longtime fans of the Metroid series, but the challenges are new, the power-ups are plentiful, and the graphics and sound are supercharged. Plus, if you thought that the original Metroid had a surprise ending, wait until you get past the Mother Brain in Metroid: Zero Mission. A new twist provides a deeper adventure than ever before.",89,8.9
617,The Legend of Zelda: The Minish Cap,2005-01-10,"Link returns in an all-new Game Boy Advance adventure. When the sorcerer Vaati turns Princess Zelda to stone, the king of Hyrule sends Link on a quest that takes him to all-new locations. Using the power of a mystical hat called the Minish Cap, Link must travel through a fantastic world rife with new items, puzzles, and bosses. As Link, you can shrink down to either battle large enemies from within or find secret items. You can also unlock items and solve puzzles by fusing together magic relics.",89,8.9
707,"WarioWare, Inc.: Mega Microgame$!",2003-05-21,Frantic action! Prepare for lightning-quick game play as you blaze through over 200 bizarre microgames designed by a crazy crew of Wario's cronies! There are even two-player contests that can be played on a single Game Boy Advance! Pick up and play! Ultra-simple controls make each game easy to get into...until the games start coming faster... and faster...and FASTER!,89,8.8
810,Tactics Ogre: The Knight of Lodis,2002-05-11,"Under the watchful eye of the Holy Lodis Empire, strange things are happening on the island of Ovis. Powerful forces have been set in motion, but their motives are masked by political intrigue. It is your mission to investigate these occurrences and discover the true intentions of those involved. The ending of the game will depend on the actions that the main character, Alphonse, takes. You will make many revelations as you proceed, but you must survive the unrelenting battles and cultivate your characters' abilities to unveil the ultimate truth.",88,8.8
854,Wario Land 4,2001-11-18,"Hey! You! Yeah, you! Listen up when Wario's talking to you! I just read about this legendary Pyramid of Gold, and you're gonna help me go explore it. There's lots of treasure in there for the taking, and I want it all. I'm sure there are gonna be all kinds of weird enemies and big, bad bosses in there, so if you don't think you can hack it, put the game down now. I don't want any losers making me jump into bottomless pits, you hear me?",88,8.7
