index,name,release_date,summary,meta_score,user_review
49,The Legend of Zelda Collector's Edition,2003-11-17,"Receive Four Complete Classic Zelda games all on one disc when you buy the Zelda GameCube Bundle: The Legend of Zelda, Zelda II - The adventure of Link, The Legend of Zelda: Ocarina of Time, The Legend of Zelda: Majora's Mask. The disc also includes: Playable Demo of the Legend of Zelda: The Wind Waker, Zelda Retrospective Movie, The Legend of Zelda: The Wind Waker Movie Preview.",95,8.9
511,Tiger Woods PGA Tour 2003,2002-10-27,"From towering drives to picture-perfect putts, the essence of golf has been captured in Tiger Woods PGA Tour 2003. The game features plenty of challenging courses such as Pebble Beach Golf Links and Royal Birkdale. Plus, you can choose from a variety of professional golfers, each with their own strengths and weaknesses. Hit the course as Tiger Woods or put your skills up against his in a one-on-one showdown, but either way, be prepared to bring your best game.",90,6.7
561,Madden NFL 2002,2001-11-17,"If you enjoy simulation-style football games that play well, have incredible depth, and look great, Madden 2002 is your game.",89,6
1079,Paper Mario: The Thousand-Year Door,2004-10-11,"Get ready for a new role-playing adventure as Mario returns to paper form to stop a dangerous threat. In Paper Mario 2, Mario can dodge, inflict damage, and impress the crowd to strengthen his attacks. Also, Mario and his friends have more paper abilities. They can now turn sideways to slip through cracks, fold into a paper airplane to fly, roll into a tube, and more. They can also use a variety of items like hammers and thunderbolts to defeat their enemies.",87,9.1
2021,Prince of Persia: The Two Thrones,2005-12-01,"The Prince of Persia returns to his kingdom to find it decimated by war and turned against him in Prince of Persia: The Two Thrones. You can play as the time-bending prince or his evil alter-ego as he tries to return to the throne that is rightfully his. Now there are two distinct characters, each with their own abilities and backgrounds, as you explore the urban setting of Babylon. Prince of Persia: The Two Thrones adds new Sands of Time abilities and an all-new setting for the third chapter in the Prince of Persia story.",84,7.7
2257,NBA 2K3,2002-10-07,"Without question, NBA 2K3 is one of the most accurate representations of professional basketball to date.",84,6.3
2439,Need for Speed Underground,2003-11-17,"Enter the world of urban street racing with the latest title in the hit Need for Speed series: Need for Speed Underground. Take on today's most popular tuner cars from Mitsubishi Motors, Subaru, Toyota and many more, earning cash for car mods. Test your skills against the computer or online against up to 4 players. But creating a custom street racing machine will not get you to the top; it takes a certain amount of attitude and razor sharp driving skills to compete in the tough world of urban racing.",83,8.2
2736,All-Star Baseball 2003,2002-02-25,"If you're looking for a simulation-style baseball game for your GameCube, All-Star Baseball 2003 is the best and only option.",83,8
3632,Mega Man Anniversary Collection,2004-06-22,"For 15 years, Mega Man games have appeared on consoles, and now you can play ten of them on one disc. Mega Man Anniversary Collection includes the first eight Mega Man games plus two that were never-before-released in the U.S. See how Mega Man has crossed into other media by watching unlockable bonus features, including footage from the original Mega Man TV Series, over 30 original artwork selections, and remixed music tracks inspired by the series.",81,8.8
3850,Bomberman Generation,2002-06-03,"Bomberman makes his explosive debut on Nintendo GameCube! Mujoe and his gang are up to their old tricks. This time, they're after the Bomb Elements - powerful crystals that will give them the means to rule the universe.",81,8.3
4268,MLB Slugfest 20-03,2002-09-03,"MLB SlugFest 20-03 ignites America's national pastime with a torrid blend of aggressive, adrenaline-style action and authentic MLB credentials. Along with the series' signature brand of blazing fastballs, screaming line drives, and hard-hitting wall crashes, this year's Slugfest features more outrageous animations, fantasy players and stadiums, and extra DVD Content. Bolster your lineup MLB superstars, including Alex Rodriguez, and take your game to the next level.",80,
4483,Spider-Man 2,2004-06-28,"The city is at risk, and only you can save it from the evil clutches of an old enemy--the powerful Electro. He has a mysterious new device that makes his million volts of destruction even deadlier. But now Spider-Man has Insulated Armor, which makes him impervious to electricity, in addition to new powers such as Ice and Taser-Webbing. With your new bag of tricks, you can stop Electro, Sandman, and other villains' nefarious schemes to bring the city to its knees.",80,8.4
5051,Smuggler's Run: Warzones,2002-08-07,"Exotic Imports, an international delivery service, calls you back for another round of brutal courier action in Smuggler's Run: Warzones. This entry in the Smuggler's Run series lets you work for an elite band of smugglers. The game boasts a vehicle update--with the new hoverbike--plus new levels, new four-player multiplayer modes, and new countermeasures to thwart would-be pursuers and enemies. Now, make the drop, hit the nitro boost, and get across the border before all hell breaks loose.",79,7.1
5139,NHL Hitz 20-02,2001-11-17,"As the only hockey game available, NHL Hitz 2002 deserves a strong look from GameCube-owning pucks fans.",79,8.6
5979,Pac-Man vs.,2003-12-02,"In Pac-Man vs., Pac-Man must navigate mazes, eating pac-dots, fruit, and power pellets as he dodges hungry ghosts, just like the original--but this time, human players control the ghosts. The lead player, viewing the entire maze on the Game Boy Advance, must avoid the other three players controlling the ghosts on the television screen. To raise the tension factor, the three ghost players can only see part of the maze around their characters. Pac-Man must clear all the pac-dots in each maze to progress to the next level.",78,8.3
7674,Star Wars Rogue Squadron III: Rebel Strike,2003-10-15,"X-wings, B-wings, speeder bikes, AT-STs, tauntauns--you'll have to master them all to save Luke, Wedge, Han, Chewie, and Leia from Darth Vader and his Imperial forces. All new multiplayer modes include the entire Rogue Leader game in co-op, plus endurance, capture-the-base, and dogfight modes. Cinematic realism takes you to new heights as you climb out of your cockpit to battle the Empire on foot in this thrilling third chapter of the Rogue Squadron series.",75,7.6
10051,Phantasy Star Online Episode III: C.A.R.D. Revolution,2004-03-02,"A strangely powerful Photon-like substance found on Planet Ragol has spurred a raging battle between the Hunters and a rebel team called the Arkz. The prized matter known as ""The Germ"" has unique replicating powers and can be sealed in small playing-card-sized packets. Warriors carrying a deck of the sought-after cards can then bring unprecedented amounts of destructive weapons and creatures into battle. Fight with the Hero Hunters or on the rebels' Dark Side and stack your decks accordingly. You'll compose several powerful decks from nearly 500 cards featuring fighting moves, weapons, and PSO creatures.",71,8.3
10815,Shrek 2,2004-04-28,"Shrek 2 takes players on a twisted fairy tale adventure with Shrek and his buddies. Revisit key locations from the movie sequel while discovering all-new locations and characters. Shrek 2 combines squad-based action with traditional action adventure elements. You control a team of four and play as Shrek or any of his ten friends, switching between each to best utilize the character's unique abilities to solve puzzles, fight monsters, and complete wild and dangerous adventures.",70,5.3
11163,NCAA College Football 2K3,2002-09-09,"NCAA College Football 2K3 is an all-around solid game, and any college football fan would undoubtedly have a good time with it.",70,8
11341,Outlaw Golf,2002-10-29,"Golf meets strippers, ex-cons, and wannabe rappers. In Outlaw Golf, you can step into the shoes of all kinds of criminals and compete in 30 tour events. With each event, you'll unlock new characters and better equipment and improve your character's skills. Challenge three of your friends in eight different games, including stroke, match, skins, best ball, casino, and more. Play like a pro and the game gets easier; play poorly and the game becomes tougher.",69,7.8
12294,Capcom vs. SNK 2 EO,2002-09-23,"Two fighting giants clash in Capcom vs. SNK 2 EO. Now you can choose from more than 44 characters from the Capcom and SNK fighting universes and pit them against one another in one-on-one slugfests. Before each match, you can customize your character's fighting style with one of six new Grooves. Then, put your uppercuts, throws, and combos to the test in six gameplay modes featuring multiple tournaments. With the new Free Ratio System, you can easily determine the level of your fighter's strength.",68,8.6
12935,All-Star Baseball 2002,2001-11-17,The GameCube version of All-Star Baseball 2002 exhibits many of the traits inherent to a port and ultimately fails to impress.,66,6.3
13894,Sonic Gems Collection,2005-08-16,"9 classic titles from the Sonic the Hedgehog library previously available only in the arcade, on SEGA CD, SEGA Saturn, and Game Gear are now combined into one collection!",64,8.2
14166,Pro Rally,2002-11-11,"It's a frustrating game with a career mode that's too short, and, ultimately, you'd be better off without it.",64,8.2
14204,X-Men: Next Dimension,2002-10-15,"Fight in epic superhero showdowns against 24 of your favorite X-Men characters. In X-Men: The Next Dimension, a powerful enemy plots to rid the world of mutants, and only the X-Men can stop him. Choose from traditional or new X-Men--each with his or her own special fighting abilities and objects to interact with--and battle through destructible environments. Your mission to save the future will uncover secrets about your own past.",63,7.8
14411,Future Tactics: The Uprising,2004-05-10,"Welcome to the future--a place where creatures have forced humans to live in squalor, battling their overlords and waxing nostalgic for better days. Now, a young boy named Low, his sister, and a collection of fighters find themselves as mankind's only hope for blasting the creatures back to where they came from. You must guide this ragtag team of survivors through 19 levels of tactical combat while upgrading them with powerful weapons. In Battle mode, you can take on a friend in tactical warfare--complete with customizable handicaps, power-ups, and victory conditions.",63,
15074,Over the Hedge,2006-05-09,"When a housing development intrudes on their woodland habitat and an opossum is kidnapped by an evil exterminator, three wise-cracking rodents and one very neurotic reptile invade the 'burbs in a quest to rescue their friend. Battle the exterminator and his army of mind-controlled mammals, and save the forest (and your own hide) from the world's peskiest critter-man.",61,8.1
16913,Frogger 3D,2011-09-20,Frogger 3DS is the debut game of the Frogger series for the Nintendo 3DS.,54,6.1
17129,The Terminator: Dawn of Fate,2002-09-18,"The machines of Skynet have risen, reaping a bloody harvest of human flesh across the globe. You are a soldier of Tech Com--a ragged team of human-resistance fighters intent upon stopping the cybernetic onslaught in postapocalyptic Los Angeles. The prequel to The Terminator film lets you play as three characters--each with specialized skills and abilities. Your ultimate goal is to travel back in time to 1984, with the hope of preventing a relentless Terminator model T-800 from murdering Sarah Connor--mother of resistance leader John Connor. Armies of cyborgs stand in your way, but you'll have plenty of new weapons and melee moves to clear the path.",53,5.7
18604,Jeremy McGrath Supercross World,2002-02-27,"10-Time World Supercross Champion Jeremy McGrath, Freestyle MX and Supercross champ Travis Pastrana and other leading pros have returned to give you the best racing experience. Feel the power of your engines as you tackle 25 unique tracks, complete challenges and master the skills necessary to become the king of Supercross - like Jeremy himself.",36,6
18739,Batman: Dark Tomorrow,2003-03-25,"Batman, the Dark Knight detective of Gotham City, is back in an all-new adventure. In Batman: Dark Tomorrow, it's up to Batman to solve the mystery and save the day. The legendary Caped Crusader must use all his mental and physical skills, batglider capabilities, devices from his utility belt, and sleuthing prowess to fight crime and defeat enemies. You must battle both new and familiar enemies, including Mr. Freeze, Poison Ivy, and the Joker. But in some missions, stealth is just as important as brute force.",29,3
18,Metroid Prime,2002-11-17,"Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas.",97,8.6
30,Resident Evil 4,2005-01-11,"Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, you must make your way to a mysterious location in Europe, where new enemies await. Take them down by using enhanced aim-and-shoot features and a new action button.",96,9.2
36,The Legend of Zelda: Twilight Princess,2006-12-11,"In the next chapter in the Legend of Zelda series, Link can transform into a wolf to scour the darkened land of Hyrule. With the help of Midna, a mysterious being, you must guide Link through hordes of foul creatures and challenging bosses using new moves and a new horseback combat system. Many puzzles stand between Link and the fulfillment of his quest, so you must sharpen your wits as you hunt for weapons and items.",96,8.9
40,The Legend of Zelda: The Wind Waker,2003-03-24,"In this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunning cel-shaded graphics give the people and places of Link's watery world a wildly artistic new look. And for the very first time, Link sails freely on the high seas. Join Link on his most epic and scenic adventure yet. Face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister, Aryll.",96,9
111,Madden NFL 2004,2003-08-12,"In its 14th season, Madden NFL Football isn't showing signs of slowing down. Madden NFL 2004 adds new features such as Playmaker Control and Owner Mode to it's deepen its football simulation. This year, players can make adjustments after the snap and create championship caliber plays with the easy-to-use Playmaker Control. The new Owner mode allows you build and manage your own stadium in addition to your own team. Compete against other players through EA Sports Online Tournaments. With new plays, modes, and online play, Madden NFL 2004 is the most complete, authentic installment in the series yet.",94,7.2
153,SoulCalibur II,2003-08-27,"Open the next chapter in world of Soul Calibur. Soul Calibur II features seven distinctive gameplay modes including: Arcade, Versus, Time Attack, Survival, Team Battle, Practice, and the console exclusive Weapon Master. Collect up to 200 different weapons and battle characters with their own styles, strengths, and abilities. In addition to the 13 fighters, each platform has unique special fighters: Link for GameCube, Heihachi for PS2, and Spawn for Xbox. Prove yourself through soul and sword.",93,8.9
164,Viewtiful Joe,2003-10-07,"Joe is no ordinary man and Viewtiful Joe is no ordinary game. Capcom's new superhero action game mixes funky cartoon-style visuals with classic side-scrolling gameplay and introduces the world's quirkiest million dollar action hero. More than just any ordinary dude, Joe must transform into the ultimate superhero. It's up to you to activate the correct view mode like ""slow"" or ""zoom in"" in order to clobber your enemies with beautiful style. You can also speed up or slow down your visual effects for even more ""viewtiful"" moves. Viewtiful Joe mixes an innovative viewpoint with an amazing stunt-filled action movie universe.",93,8.3
192,NFL 2K3,2002-08-21,"NFL 2K3 upgrades Sega Sports' football series with realistic player animations, play-calling intelligence, and an on-the-fly audible system. With Franchise mode, you get total team control as player, coach, and general manager. A new ESPN broadcast system lets you review all the highlights from your games. Now you can track the best players, make the smartest trades, and build the most dominant team in the league. NFL 2K3 also brings you closer to the action with updated rosters and authentic stadiums.",92,7.1
201,Eternal Darkness: Sanity's Requiem,2002-06-23,"This horror story spans generations, so you must relive the blood-soaked history while conjuring spells, solving puzzles, and slaying supernatural beasts. Whether you're creeping around as the Roman Centurion, Cambodian villager, or any of the other characters, the psychological thriller will challenge you to use your mind as well as your might. The story is historically based and features many significant real-world events and locations, including the blood-soaked fields of the Somme, the jungle-ridden temples of Angkor Wat, the deserts of Persia, and the haunted vales of Rhode Island.",92,8.7
203,SSX 3,2003-10-20,"Drop in and conquer the massive, living mountain rife with ego-crushing challenges and gravity-bending thrills. SSX 3 returns with more slopes and all-new hazards to overcome including lightning storms, vertical drops, serpentine slopestyle courses and avalanches. Customize your rider's clothes, abilities, and moves. Pull off three levels of awesome ""Uber tricks."" Dominate the mountain, and then test your skills online. It's a long way down, so make sure you're ready for the challenge.",92,8.7
221,Madden NFL 2003,2002-08-12,"The game of football just got more real with Madden NFL 2003. This year's installment of the Madden NFL Football series features more depth, new animation, realistic player AI, and in-depth play modes. Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks in the all-new Mini-Camp mode. The improved graphics and presentation now show sidearm QBs, gang-tackling, stand-still receiver catches, and more than 300 realistic player faces. Madden NFL 2003 gives you more control than ever before, with faster game speed, a more finely tuned passing game, and independent audibles for defensive line, linebackers, and defensive backs.",92,7.6
225,Super Smash Bros. Melee,2001-12-02,"Nintendo's all-star cast of combatants is back in Super Smash Bros. Melee, along with a new batch of brawlers ready to tear it up. The sequel to Super Smash Bros. keeps the same basic premise: Characters duke it out in interactive environments, using special attacks and various items to knock each other into the abyss. Some new defensive techniques add an even deeper level of complexity to the combat. In addition to traditional battle royale matches, players can select all-new ways to play like Coin mode and Tournament mode.",92,9.1
