index,name,release_date,summary,meta_score,user_review
62,Portal 2,2011-04-18,"Valve is working on a full-length sequel to its award-winning, mind-bending puzzle action game for the Xbox 360 and PC.",95,9.1
232,Undertale,2015-09-15,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.",92,8.4
358,Batman: Arkham City,2011-11-21,DC Comics' Dark Knight clashes with the Joker again in this sequel from Warner Bros. and Rocksteady Games.,91,8.7
427,Black & White,2001-03-26,"Peter Molyneux's highly anticipated ""god game,"" a blend of the genres including strategy, sim, RPG, and puzzle, features the player as a new god in the lands of Eden who must reign with the help of uniquely evolving animals in either a benign or evil fashion.",90,7.7
432,Portal,2007-10-10,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",90,9.2
455,Deus Ex,2000-06-23,"The game that incorporates RPG, action, adventure, and 1st-person shooter genres into a chaotic blend of real-world conspiracies, cliffhangers, and plot twists. A richly simulated world of unparalleled interactivity, engineered to react logically to your every action. The decisions and consequences are yours. [Eidos Interactive]",90,9.2
493,Deus Ex: Human Revolution,2011-08-23,"In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.",90,8.5
499,Brothers: A Tale of Two Sons,2013-09-03,Two sons must set out on a perilous journey to bring back the Water of Life to their ailing father.,90,8.5
525,Total War: Shogun 2,2011-03-15,"Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the enjoyment and depth of the series.",90,8.4
590,Dead Cells,2018-08-07,"Dead Cells is a rogue-lite, metroidvania action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.",89,8.1
599,Devil May Cry 5,2019-03-07,"The story is set several years after Devil May Cry 4. Legendary DMC action returns, made all the more stylish by the power modern gaming has to offer. Behold stunning visuals built upon the technology that brought you Resident Evil 7 biohazard. High framerate graphics and flexible design give our creators what they need to offer fans the latest and greatest DMC experience.",89,8.6
685,Psychonauts 2,2021-08-25,"Razputin Aquato, trained acrobat and powerful young psychic, has realized his life long dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was kidnapped, and what's worse, there's a mole hiding in headquarters. Raz must use his powers to stop the mole before they execute their secret plan--to bring the murderous psychic villain, Maligula, back from the dead.",89,6.8
