index,name,release_date,summary,meta_score,user_review
1205,Velocity Ultra,2013-07-02,"Velocity Ultra is what Velocity should have been the first time around: a native PlayStation Vita title with deliciously sharp and stylish HD graphics, PSN trophies and online leader boards. [FuturLab]",87,7.9
2032,Steins;Gate 0,2016-11-29,If you can't save the on you love... ... How can you save humanity? - A new story in the critically-acclaimed Steins;Gate series. - From the depths of despair - explore a whole new world line - Your favourite characters return alongside a brand new cast!,84,8.6
2269,Minecraft: PlayStation Vita Edition,2014-10-14,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",84,7.4
2581,Oddworld: Stranger's Wrath HD,2012-12-18,The Fabled Oddworld Series Makes its Return in High Definition in Oddworld: Stranger's Wrath HD.,83,8.1
2741,Luftrausers,2014-03-18,"Luftrausers is an arcade-style aerial combat shooter where ace pilots will be able to customize their own ""rauser"" and battle wily enemy fighters amongst the clouds or charge colossal battleships scattered across the open seas.",83,7.4
3758,SUPERBEAT: XONiC,2015-11-10,Fully compatible with PlayStation TV.,81,7.3
5305,CastleStorm,2013-11-05,"CastleStorm features medieval ballista weaponry, allowing players to launch an assortment of explosive weapons including Morningstars, Apple Grenades, Homing Eagles, and even flying sheep to defeat an onslaught of enemies trying to capture your flag and destroy your castle. Deploy a fearsome ground attack of swordsmen, knights, and donkey riders in order to protect your castle games, and if all else fails, call upon powerful spells to help keep the enemy at bay.",79,7.5
6510,La-Mulana EX,2015-03-03,Will you fall victim to deadly traps or unravel the secrets of LA-MULANA?,77,7.8
7716,Gravity Crash Ultra,2014-08-12,,75,7.1
8881,Freedom Wars,2014-10-28,"Freedom Wars is an action-packed RPG, launching exclusively on the PlayStation Vita.",73,8.3
9979,Hyperdimension Neptunia U: Action Unleashed,2015-05-19,"Featuring new playable characters, as well as customizable equipment and over-the-top skills that haven't been seen in previous Neptunia games, this game has something to offer old series fans and new fans alike.",71,7
9986,Big Sky: Infinity,2012-12-11,"Big Sky: Infinity is a procedurally generated, super fast, twin-stick shooter game that will introduce new modes and enemies, and touch controls to its predecessors.",71,5.2
10107,Soldner-X 2: Final Prototype,2015-03-17,"In Soldner-X 2: Final Prototype, you will return to Gota IV as part of the Soldner-X defense force. Mankind will once more rely on your battle against new mysterious powers. Staged across seven unique action-loaded levels accompanied with an adrenaline pumping soundtrack, Soldner-X 2: Final Prototype combines traditional 2D gameplay with detailed high definition graphics and a taste of fresh innovations.",71,6.9
12399,Monster Monpiece,2014-05-27,"Based on an authentic card battle of deep strategies, this title depicts an adventure story of charming characters.",67,7.4
12694,Dynasty Warriors Next,2012-02-21,In this Tactical Action game players can enjoy the thrill of taking down thousands of enemies and become the greatest hero in Chinese history.,67,7.5
13074,MonsterBag,2015-04-07,"Forgetful Nia leaves behind her monster backpack, V, on her way to the bus stop. In a world afraid of monsters, help V catch up to Nia while avoiding been seen by the humans. Oh, yeah! Watch out for the apocalypse.",66,7.3
13643,Resident Evil: Revelations 2,2015-08-18,"Resident Evil Revelations 2 follows two interwoven stories of terror across 4 episodes of intense survival horror. Episode One: Penal Colony Kidnapped by a unknown group of assailants, Claire and Moira awake to find themselves trapped on an isolated island infested with horrifying creatures beyond imagination. Now they must desperately struggle to escape the horror.",65,8.1
14705,Orgarhythm,2012-10-23,A hybrid rhythm/real-time strategy game through which you direct your own personal army by using the touchscreen to keep the beat.,62,6.8
15879,BigFest,2015-12-01,"With the help of Big Dave and your trusty crew of roadies, in BigFest you design, build and manage the ultimate music festival, from a small field with 20 guests slow clapping, all the way up to multi-day, multi-stage, mega festivals.",59,5.7
16280,Mobile Suit Gundam: Extreme VS-Force,2016-07-12,"MExtreme VS Force is an action game developed and published by Bandai Namco Games, which was released in Japan in 2015.",57,6.8
