index,name,release_date,summary,meta_score,user_review
1855,Tetris,2009-10-01,[PSP Minis] Tetris on the PSP.,85,7.7
4554,Ys: The Oath in Felghana,2010-11-01,"Ys: The Oath in Felghana is a remake third game from the Ys series, Ys III: Wanderers From Ys.",80,8.5
4881,SSX On Tour,2005-10-11,"SSX On Tour is a completely fresh take on the SSX franchise. Building on the core speed and trick gameplay that has been so successful in the past, players can now choose their way to become black diamond fiends. SSX On Tour allows players to create their own boarder or skier and take them from a wannabe to a mountain rockstar. Players can get noticed in all-new shred challenges where they earn an invitation to The Tour where they'll face the best racers in the SSX cast. Fly down the all-new tracks, and master the new monster tricks for both boarding and skiing to make it to the top of The Charts. [Electronic Arts]",79,8
4884,MLB 10: The Show,2010-03-01,New Personalized batting stances. Play against friends on the go in Ad-Hoc mode. Find your way to the top in Road to the Show. Updated rosters and new stadiums. [SCEA],79,6.8
5676,Brandish: The Dark Revenant,2015-01-13,,78,8.2
5758,Dissidia 012: Duodecim Final Fantasy,2011-03-21,Check out new tales of these new warriors and an enhanced battle system.,78,8.3
7283,1000 Tiny Claws,2011-10-04,1000 Tiny Claws is the third PlayStation Minis game from developer Mediatonic.,76,6.3
7973,Madden NFL 06,2005-09-20,"For 16 years, Madden NFL football has been the definitive gridiron video game experience. Here's the next one for your portable buddy.",75,7.9
8035,ClaDun x2,2011-08-30,Dive back into the world of Arcanus Cella with a new cast and a new adventure in ClaDun x2.,74,8.3
8063,FlatOut: Head On,2008-04-04,The manic racing and mass destruction of FlatOut heads to the PSP.,74,8.2
8480,Midnight Club 3: DUB Edition,2005-06-27,"The open, living cities of San Diego, Detroit, and Atlanta are available in the PSP version, with all of the shortcuts, secrets and side streets. Rockstar Leeds has rebuilt each environment in its entirety. Whether you're just exploring in Cruise mode, looking to shave a few second in an ordered race, or trying to pick the ultimate route in an unordered free for all, figuring out the intimate secrets of these complex maps is a treat that translates perfectly to the PSP. Race the cars you've built in 6-player wi-fi multiplayer action. Prove your driving skills or just show off your creation in a deep selection of Arcade modes. [Rockstar]",74,8.2
8639,"What Did I Do to Deserve This, My Lord!? 2",2010-04-29,"The sequel to Holy Invasion of Privacy, Badman! What Did I Do To Deserve This?",73,8
9528,Prinny: Can I Really Be the Hero?,2009-02-17,Prinny: Can I Really Be the Hero? is a side-scrolling action game and will have you slashing your way through various Netherworlds.,72,8.1
9562,Monsters (Probably) Stole My Princess,2010-04-22,[PSP Minis] Take control of the aristocratic demon known only as The Duke in an upwards-scrolling platformer and chase down fleeing monsters.,72,7.6
9735,Fate/Unlimited Codes,2009-09-03,[Playstation Network] Fate/Unlimited Codes is a 3D fighting game based on the visual novel Fate/stay night.,72,8
12971,Vempire,2009-10-22,"[PSP Minis] In this strategy-based puzzle game, you collect artifacts and powers to tackle a series of levels and monsters.",66,
13507,Phantom Brave: The Hermuda Triangle,2011-03-08,Phantom Brave: Heroes of the Hermuda Triangle comes to the PSP with some new content.,65,8.1
14467,Ys I & II Chronicles,2011-02-21,Ys I & II Chronicles combines the first two Ys games into one package.,63,8.6
14906,Arcade Darts,2010-06-29,[PSP Minis] Put your dart skills to use - but on your PSP.,62,5.8
14985,Blood Bowl,2010-04-13,"A brutal team sport unfolding in a parallel fantasy world based on Warhammer and American football, Blood Bowl invites gamers to form a team of players from races including: Orcs, Elves, Humans, Dwarfs and many other fantasy creatures, and launch themselves into battle in the bloodiest of arenas. This strategy sports game combines a fine balance of tactics and bone crunching action! The game offers two game modes. The first, which is fully real time, offers spectacular gameplay with intense battles between blocking linemen and daring displays of agility of players leaping and dodging through opponents tackle zones, while powerful spells and dirty trick special plays are unleashed across the field. All this creates a highly charged atmosphere. Of course, since it is sometimes difficult to keep an eye on the entire field at once, the game's interface offers different tactical and strategic setups, while the AI is responsible for managing the players on the field. The second game mode, an actual turn-based game, is a treat for players of the original board game because it is an exact replica of Games Workshop's tabletop masterpiece. The original rules have been faithfully reproduced, and it contains all of the devices, strategies, play and rhythm of the original game. [Focus Home Interactive]",61,6
15574,Tom Clancy's Rainbow Six Vegas,2007-06-12,"The PSP version features exclusive new content and all-new characters as Las Vegas finds itself in chaos and Rainbow operatives are forced to defend one of the most recognizable cities in the world. The future of Las Vegas and global security is in your hands... will you be able to save Vegas? New Team, New Location – Two new Rainbow operatives enter the impending doom that is Las Vegas as their console brethren, Keller, Park and Walter, simultaneously work against the clock to save ""Sin City."" As Brian Armstrong, work as a field operative and assault expert, taking down tangos from the ground floor. As Shawn Rivers, use your sniper and long-range shooting skills to pick off terrorists from above, one at a time. Tag-Team Gameplay – In single-player mode, play as both a field operative and sniper as you battle to protect the innocent from carnage. Observe - Plan - Assault – Use tactical planning to maneuver through Vegas environments while utilizing high-tech equipment like snake cams to strategically ""tag"" terrorists prior to entering a room. Take Cover – When the action heats up, switch to third-person view while taking cover, giving you time to examine the situation before making your move. Tailored Control System – Shoot your way out of relentless gun battles utilizing a tailored control system built specifically for the PSP system. Player Rewards – Build up your stats to unlock exclusive Rainbow Six Vegas content, including concept art and the feverish Terrorist Hunt mode. Terrorist Hunt Mode – Hone your skills in Terrorist Hunt mode, where your objective is simple – kill the terrorists. Enter specific points of single-player maps and down the spawning terrorists one at a time. Multiplayer – Take the fight to five of your closest friends via wireless (Ad Hoc) or online play (Infrastructure) in Survival and Team Survival multiplayer modes, while exploring six classic Rainbow Six maps. [Ubisoft]",60,7
