index,name,release_date,summary,meta_score,user_review
61,Tetris Effect: Connected,2021-10-08,"Tetris Effect: Connected is the original Tetris Effect with all-new co-op and competitive online and local multiplayer modes. This is Tetris like you've never seen it, or heard it, or felt it beforean incredibly addictive, unique and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time.",95,8.5
321,Sonic Mania Plus,2018-07-17,"Sonic Mania Plus is the definitive retail enhanced version of the original Sonic Mania's digital release, presented in a pristine collectible physical release. The encore pack is a $5 upgrade fee for owners of the original game.",91,8.1
576,Into the Breach,2018-08-28,Control powerful mechs from the future to defeat an alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game.,89,7.8
832,What Remains of Edith Finch,2019-07-04,What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.,88,7.8
1061,Super Mega Baseball 3,2020-05-13,"Run up the score in a relaxed slugfest or push the limits of your reflexes in this refined baseball simulator. Super Mega Baseball 3 features an all-new Franchise mode, major graphical enhancements, and on-field additions including pickoffs and situational player traits.",87,7.8
1162,Katamari Damacy REROLL,2018-12-07,"The stop-at-nothing pushing prince is back and ready to reroll. When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars at home or on the go – now in full HD.",87,8.3
1287,The Messenger,2018-08-30,"As a demon army besieges his village, a young ninja ventures through a cursed world, to deliver a scroll paramount to his clan’s survival. What begins as a classic action platformer soon unravels into an expansive time-traveling adventure full of thrills, surprises, and humor.",86,8.4
1535,Mini Metro,2018-08-30,,86,8.4
1830,Tony Hawk's Pro Skater 1 + 2,2021-06-25,"Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.",85,7
2141,The Legend of Heroes: Trails of Cold Steel III,2020-06-30,"The end of the civil war led to the turning point of a new era for the Erebonian Empire. Centering on Rean Schwarzer as the Ashen Chevalier, the young man who came to be seen as a hero within the country, a new story of young heroes will unfold.",84,7.9
2232,Danmaku Unlimited 3,2018-03-13,"Inspired by classic Japanese shooting games, Danmaku Unlimited 3 is a lovingly crafted medley of the best aspects of Japanese bullet hell games, all in a polished, accessible package. An old school shoot'em up? Why is it worth my time? Bullet hell style mechanics is having a kind of renaissance with its inclusion in many hit indie games. However if players want to explore more into the world of Bullet Hell a lot of traditional titles can be hard to understand in its mechanics or just plain too difficult to get into as a newcomer. Danmaku Unlimited 3 is designed to be intuitive and accessible to players unfamiliar with the genre, all the while without losing any of the intensity and flashiness that makes the genre so exciting to play. Okay, so how does the game do that? CORE A staple feature in Bullet Hells, only the very center of the player's craft, the core, is vulnerable to enemy fire. GRAZING Get the core close to bullets to just barely ""graze"" it will power up the player's craft. Once fully charged it can unleash a powerful rampage that makes you feel like a total boss. SPIRIT/GRAZE SYSTEM Shooting down enemies turns their shots into harmless ghost bullets that the player can safely touch while also powering up the plane. All of this allows the game to be at a level of challenge that is manageable for a wide range of players without reducing the game into a bullet free turkey shoot. I'm good at bullet hell shooters, won't I just breeze though the game then? The game has two unique modes, GRAZE MODE features a differently tuned system (with conditions to trigger the ghost bullets) that offers a higher level of challenge comparable to the toughest traditional bullet hell titles. Is there a story? It is about a guardian, entrusted with Earth, rebelling against her overseers. Shakespeare it isn't, but you are here for the bullets and explosions right? How is the music? A Shmup is nothing without good music! Music is by BLANKFIELD from Japan, who does awesome remixes of Touhou and many other anime/game musics! Anything else? - The campaign features 5 stages each ending with an epic multi-stage boss fight. - Up to 25 weapon combinations for players to unlock and experiment to find what works best for them. - Unique rendering technique that procedurally animate sprites on the fly. - TATE support for players that use vertical screens. Or if you like to play lying down on your sides, I'm not going to tell you how to live your life. Okay I'm sold! (Or not, if so then thanks for making it down to here!) TLDR List - Authentically crafted Japanese style shoot'em up in High Definition - Intuitively designed to be an accessible gateway to the world of Bullet Hell - 5 handcrafted stages packed with dynamically rendered sprites - Epic multi-phase boss battles with spellbinding bullet patterns - Up to 25 unique weapon combinations - Turn enemy attacks into your advantage with the SPIRIT/GRAZE system - Music by the talented Japanese indie circle BLANKFIELD Multiple modes of difficulty that caters to players of all skill ranges",84,8.1
2408,Alien: Isolation,2019-12-05,"HOW WILL YOU SURVIVE? Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger. Fifteen years after the events of Alien, Ellen Ripleys daughter, Amanda enters a desperate battle for survival, on a mission to unravel the truth behind her mother's disappearance. As Amanda, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked, desperate population and an unpredictable, ruthless Alien. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive. Overcome an ever-present deadly threat Experience persistent fear as a truly dynamic and reactive Alien uses its senses to hunt you down and respond to your every move. Improvise to survive Hack systems, scavenge for vital resources and craft items to deal with each situation. Will you evade your enemies, distract them or face them head on? Explore a world of mystery and betrayal Immerse yourself in the detailed setting of Sevastopol, a decommissioned trading station on the fringes of space. Encounter a rich cast of inhabitants in a world scarred by fear and mistrust. When she left Earth, Ellen Ripley promised her daughter Amanda she would return home for her 11th birthday. Amanda never saw her again. Fifteen years later, Amanda, now a Weyland-Yutani employee, hears that the flight recorder of her mothers ship, the Nostromo, has been recovered at the remote trading station Sevastopol. The temptation for her to finally understand what happened is too much to resist. When the crew arrive at Sevastopol, they find something is desperately wrong. It all seems to be connected to an unknown menace, stalking and killing deep in the shadows. In order to uncover the truth about her mother, Amanda is forced to confront the same terrifying thing that separated them.",83,8.5
2576,Shovel Knight: King of Cards,2019-12-10,"Play as King Knight, the gilded goon himself, as he travels through 4 new worlds and more than 30 all new courses, on a journey to best the Three Kings who rule over the land. With a high flying spin and a boisterous bash, he can crash through all who would dare stand in his way.",83,8
2887,Pinball FX3,2017-12-12,"Tailored specifically to make use of the unique possibilities of the system, Pinball FX3 supports vertical monitor orientation and HD Rumble, giving the game the perfect feel on this awesome handheld system. On the Switch, you’ll get unprecedented mobility to earn the coveted first spot on a leaderboard. When that high-score and feeling is lit and you are in the flow, but need to catch a train – now you can. The transition from the living room to mobile is seamless with Switch. [Zen Studios]",82,7.8
3276,Thimbleweed Park,2017-09-21,"Thimbleweed Park is the curious story of two washed up federal agents called in to investigate a dead body found in the river just outside of town, bloated and pixelated from a death some too soon.",82,8.3
3362,Gnosia,2021-03-04,"The Gnosia lie. Pretending to be human, they’ll get in close, trick and deceive, and then eliminate one victim at a time... The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the “Gnosia” and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into “cold sleep” one by one, in an effort to rid the ship of Gnosia. Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew. As the numbers of crew members, Gnosia, and various “roles” increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end. ・Repeatedly play through “loops”, triggering special events to unravel mysteries in a uniquely original narrative. Certain events will unlock new commands for you to use during discussions. ・Step into a variety of roles to develop different character builds. Your stats will determine how effectively you can sway the group’s opinion or lie, and will also affect your likelihood of being selected for cold sleep. ・Engage with an engrossing and eclectic cast of characters and experience randomly triggered events, each one unique to its subject. Character events will reveal information about your crewmates in the form of special “Notes”.",82,8.5
3373,Wandersong,2018-09-27,"A musical adventure where you use singing to save the world! Play as a silly bard who embarks on a globe-trotting journey to learn about the mysterious Earthsong, said to prevent the universe’s imminent end. It's up to you to sing your songs, unlock the world's secrets and make new friends.",82,8.4
3379,RIVE: Ultimate Edition,2017-11-17,"RIVE is the metal wrecking, robot hacking shooter you've been waiting for! This 360-degree shooter/platformer hybrid lets you choreograph a dance of destruction in insanely spectacular battles and set-pieces. RIVE feels like the explosive games of yore, pumping megapixels in true 21st century style.",82,7.7
3512,Paradise Killer,2020-09-04,"An island outside of reality. A rogue human civilization hoping to resurrect dead alien gods. A murder behind locked doors. Paradise is an island that regenerates every few millennia. The psychic power that the alien worshipers within release into the universe is meant to feed and eventually resurrect their fallen deities. But this force also attracts undesired interest from demons, who eventually corrupt each island — until a new alternate reality is birthed by the Council. The system isn’t perfect, but it will be one day — on Perfect 25, the next island-to-be. But on the eve of rebirth, the Council is murdered and Paradise is killed. In the aftermath, the “investigation freak” Lady Love Dies is summoned from exile to find the culprit. This is the crime to end all crimes. What are the facts? What are the truths? Are they the same?",81,8
3623,Wunderling,2020-03-05,"Take control of the Wunderling, a low-level video game goon who has just unlocked the power to jump. Unable to stop or change direction at will, you will need to plan ahead and master the Wunderlings’ abilities to navigate treacherous scrolling levels and chase down that pesky Hero.",81,8
3645,R-Type Dimensions EX,2018-11-28,,81,8
3772,Captain Toad: Treasure Tracker - Special Episode,2019-03-14,,81,8.2
