index,name,release_date,summary,meta_score,user_review
208,Rock Band 2,2008-12-18,"Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock's most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]",92,7.2
263,Rayman Origins,2011-11-15,"Rayman's new adventure is a two-dimensional cooperative platformer with a colorful, whimsical art style.",92,8.6
287,Rock Band 3,2010-10-26,Rock Band returns with the third iteration of the popular music game featuring new songs and instruments.,91,6.9
765,DJ Hero 2,2010-10-19,Activision's turntable-based rhythm game is coming back for an encore.,88,7.6
1030,La-Mulana,2012-09-20,La-Mulana is a archaelogy action and exploration game where players take control of Professor Lemeza and his inseparable whip to discover the mysteries of Humanity!,87,7.5
2470,Mega Man 9,2008-09-22,"[WiiWare] Mega Man fans, the wait is over! The classic Blue Bomber that debuted in 1987 is back with the ninth installment in the classic series. It's a new adventure for Mega Man done in an 8-bit style-graphics, music and gameplay are all like you remember them. [Nintendo]",83,8.3
2704,Rhythm Heaven Fever,2012-02-13,"Known as ""Beat the Beat: Rhythm Paradise"" in the UK/EU. Feel the Beat and Get into the Rhythm Rhythm Heaven Fever promise to be the quirkiest, most charming rhythm game you and your friends will ever play.",83,8.3
2957,MotoHeroz,2011-09-15,MotoHeroz is a side-scrolling platform racer game for WiiWare.,82,7.5
3231,Art Style: ORBIENT,2008-09-29,"[WiiWare] Explore the universe like never before in Art Style: ORBIENT. Take control of gravity and anti-gravity and carefully maneuver your small star through 50 stages set in multiple galaxies. Collide with other stars to absorb them and make your own star expand in size, or capture the stars in your orbit and have them become your satellites. Space isn't empty, though, and you'll have to avoid bumping into obstacles or getting pulled into a black hole. If you feel like relaxing while still being challenged, this is the game for you. Its combination of simple controls, atmospheric sound and unique environment make for an experience unlike any other. [Nintendo]",82,8.2
3789,Sonic the Hedgehog 4: Episode I,2010-10-11,"Sonic is back for his fourth installment in the classic 2D series, revamped from the ground up.",81,6.5
4903,EA Sports Active 2,2010-11-16,Take the Next Step in your journey to better health and fitness.,79,8.1
4952,Pro Evolution Soccer 2012,2011-11-15,"Pro Evolution Soccer 2012 is the latest annual update to the long-running football franchise, once known as Winning Eleven.",79,7.4
5219,de Blob 2,2011-02-22,"This is the follow-up title to 2008's popular hit, de Blob.",79,8
