index,name,release_date,summary,meta_score,user_review
820,Fight Night Round 2,2005-02-28,"The sequel to EA Sports' Fight Night 2004 maintains the original's analog control scheme and introduces a variety of new features. Now you have access to even more punches, including a new ""haymaker"" punch that is just powerful enough to knock down your opponent. Every hit counts in this game, as injuries reduce a fighter's ability to defend himself. Your cut man can tend to your injuries in between rounds to help you survive your opponent's devastating punches.",88,8.2
893,ESPN NHL 2K5,2004-08-30,"ESPN NHL 2K5 continues the ESPN NHL series by introducing a bevy of new features. The gameplay, presentation, and graphics from last year's installment have been enhanced in the sequel. This time, you can use improved checks and defensive maneuvers to get even more physical with your hockey players. An enhanced ESPN presentation introduces cutscenes from the locker room and includes statistic-laden overlays, crowd chants, and more. You can also take on your friends in the all-new Party mode, and you can compete in online tournaments.",88,7.9
1227,MotoGP 2,2003-05-21,"MotoGP returns with challenging tracks, different gameplay modes, and online play. In MotoGP 2, you'll race against the top 20 riders in the world at speeds of 180mph around turns and corners with your knee inches from the ground. It's up to you to find the perfect combination of rider and bike to suit your style. Races take place on 16 tracks in all weather conditions. Challenge yourself to master these obstacles in all six single-player game modes and in online multiplayer matches for up to 16 players.",87,7.5
1675,Project Gotham Racing,2001-11-14,"In Project Gotham Racing, it's just as important to look good racing as it to drive fast. You receive ""Kudos"" points for your style, skill, and willingness to take risks during races. Choose from more than 25 different cars from top manufacturers such as Ferrari, Porsche, and BMW, and compete on 200 city-based circuits. You can also race shoulder-to-shoulder with up to three friends in multiplayer mode. Fun and reward come from focusing equally on speed, flair, and risk-taking.",85,8.1
5506,NASCAR Heat 2002,2001-11-14,Your favorite drivers in their current cars racing at your favorite tracks. PLUS Beat the Heat Challenges where you can take on 36 actual race-day situations designed by NASCAR® drivers. You can also compete one-on-one against your favorite driver in Race the Pro and try to beat their best lap times.,78,
5686,Splashdown,2002-06-25,"Become one of 8 rebellious riders as you throttle a Sea-Doo® over water that looks so real you'll need a wetsuit! Just throw Splashdown into your Xbox video game system and you'll instantly start blasting through the waters of Bali, tearing over the Great Barrier Reef, or stirring up the Venice Canals. Catch massive air as you jump wakes and launch off of ramps -- and pull insane stunts like the Metronome and the Cyclone.",78,
6763,Heroes of the Pacific,2005-09-28,"Prepare yourself for arcade flight combat based around the key battles in the Pacific Theater during WWII. As the hero whose skill, courage, and determination can win or lose the war, you'll begin the action with the Japanese attack on Pearl Harbor, and fight through the battles of Midway, Iwo Jima, the Coral Sea, and Guadalcanal. Pilot 25 actual WWII aircraft through single-player missions, and control up to eight wingmen. Multiplayer modes include Co-op, Dogfight, Team Dogfight, Capture the Flag, and Fox and Hounds.",76,8.6
6840,Disney's Extreme Skate Adventure,2003-09-03,"Disney characters step out of the movies and onto skateboards in Disney's Extreme Skate Adventure. You can play as your favorite Disney and Pixar characters, such as Buzz Lightyear and Woody from Toy Story 2, Simba and Rafiki from The Lion King, and Young Tarzan and Terk from Tarzan. Now you can skate, pull off tricks, and solve puzzles in all the exciting places you've seen in the movies, including Pride Rock, the Jungle Treehouse, and Pizza Planet.",76,7.3
7018,Metal Slug 3,2004-05-26,"Not merely an arcade port, Metal Slug 3 for the Xbox sports brand-new features and original missions. Now you can choose from more than 10 new slug vehicles, including the Slug Copter and the Elephant Slug, and go head-to-head against submarines, large locusts, and giant bosses. Use handguns, power-up grenades, cannons, and more to battle evil forces. Fight alone or cooperatively with a friend in such locations as a deserted island in the South Seas, an underwater bioweapons factory, and outer space.",76,5.4
7246,Midtown Madness 3,2003-06-17,"Midtown Madness 3 provides you with madcap, over-the-top racing and driving excitement in two of the world's most fascinating cities: Paris and Washington, D.C. The latest in the Midtown Madness franchise allows you to get behind the wheel of more than 30 vehicles and compete in exciting race modes such as Blitz, Checkpoint, and Cruise. With a robust Career mode, featuring 14 driving careers, Midtown Madness 3 delivers the rush and excitement of street racing.",76,8.2
7882,The Bard's Tale,2004-10-26,"The Bard's Tale is a modern interpretation of the original role-playing game of the same name. In this game, you'll take on the role of the Bard, a sardonic and opportunistic musician and adventurer. You can choose the Bard's responses toward other characters that he encounters with either ""snarky"" or nice dialogue. Each choice changes the course of events in the game. All the action takes place in medieval environments rife with townsfolk, birds, animals, rustling trees, and trickling water.",75,7.5
8628,All-Star Baseball 2004,2003-02-23,"Not only does All-Star Baseball 2004 simulate professional baseball, but it also gives you a look into baseball's history and homes. Now, in addition to today's baseball stars, you can play history's greatest players, from the MLB to the Negro Leagues. Take a panoramic tour of each stadium while learning about interesting facts and features. If you're new to the game, all-star Derek Jeter will guide and instruct you in the new Rookie mode tutorial.",74,7.4
8643,Scrapland,2005-02-28,"Enter a futuristic world where humans are feared. In Scrapland, you'll play the role of D-Tritus, an intergalactic traveler who finds himself involved in a series of mysterious murders. To solve this mystery that plagues the city of Chimera, you must use your ability to transform into any of the 15 character types--each with its own unique powers and skills. There are also hundreds of vehicles in Scrapland, and you have the skills to pilot each one.",73,7
8667,Dead or Alive Xtreme Beach Volleyball,2003-01-22,"The girls of Dead or Alive are back and better than ever in Dead or Alive Xtreme Beach Volleyball. But this time around the girls are throwing on their bikinis to go head-to-head in outrageous games of beach volleyball. It's time to get up close with the ladies as they set and spike their way to the championship title on the tropical beach resort, Zack Island. The points you receive on the court enable you to customize your characters with over 100 swimsuits and accessories. At night, Zack Island becomes a haven for nightlife activities including an island casino and a radio station with all your favorite sand and surf tunes.",73,7.9
9343,Medal of Honor: European Assault,2005-06-07,"In Medal of Honor: European Assault, you'll join the effort to liberate Europe in 1942. As US Army Lieutenant William Holt, you must take command of a group of soldiers through battlefields based on actual WWII locations. In both single-player and multiplayer modes, your survival depends on your ability to master weapons, gather intelligence for future missions, and make smart choices.",72,7.1
10207,Conflict: Desert Storm II - Back to Baghdad,2003-10-04,"At the height of the 1991 Gulf War, 300 klicks into the heart of Iraq, you must command your squad of Special Forces operatives to strike at Iraq's evil dictator and his fascist regime. Armed with an authentic arsenal of high-tech weapons and vehicles, your squad will face impossible odds in this battle against tyranny. Only strategy and skill will ensure your survival through frantic firefights, gut-wrenching vehicular combat, and gripping stealth operations. ""The Mother of All Battles"" is coming to your console in Conflict: Desert Storm II--Back to Baghdad.",71,7
11043,Vexx,2003-02-10,"Step into the role of Vexx as he seeks vengeance on those who murdered his grandfather and enslaved his people. Equipped with a set of razor-sharp war talons, you'll travel through volcanic islands, desert temples, frozen citadels, and giants' castles to confront the evil Dark Yabu, Shadowraith, and their minions. As darkness falls, enemies become more aggressive and the environments become more hostile. It will take all your combat skills and climbing moves to bring peace back to the villagers of Rockhaven.",70,8.3
12801,Circus Maximus: Chariot Wars,2002-02-24,"As the FIRST and ONLY game to combine the classic themes of chariot racing and gladiator fighting, Circus Maximus: Chariot Wars brings the raw excitement of survival racing to the majestic coliseums and arenas of the Roman Empire. There is no other game like it!",67,6.3
12933,Pac-Man World 2,2002-10-15,"Pac-Man is on a brand new adventure and once again dealing with the pesky Ghost Gang. In Pac-Man World 2, the Ghost Gang has picked the magical fruit from an ancient tree, thereby releasing wicked evils upon Pac-Land. You must guide Pac-Man through six new lands with plenty of amusing surprises. New and improved, this Pac-Man can ice skate, rollerblade, submarine dive, and solve many exciting puzzles. With all-new moves and a zany cast of characters, your Pac-Man heroics will be pushed to its limits.",66,7.5
13019,Crash Twinsanity,2004-09-28,"A new evil has invaded Crash Bandicoot's island paradise with plans of destruction. In a strange twist, Crash reluctantly pairs with his archenemy, Dr. Neo Cortex, in order to save the world. Now, through this unorthodox partnership, you can take control of Crash as he uses Cortex as his favorite weapon. Play as any one of four characters as you encounter reactive enemies, wild environments, and a wacky cast of new characters.",66,8.3
13165,Grabbed by the Ghoulies,2003-10-21,"Do you dare step into a haunted house full of dancing zombies, cursed mummies, and boxing skeletons? Grabbed by the Ghoulies tests your courage as you play as Cooper, a kid on a mission to rescue his kidnapped girlfriend. She's trapped somewhere in the ominous Ghoulhaven Hall, which is rife with monsters, traps, and scares. But don't worry--you'll have more than 100 household objects, including chairs, pool cues, and fire extinguishers, to bash the ghoulies with. But be careful--if you fail to get through Ghoulhaven Hall, you'll become a prisoner there forever.",66,7.7
13233,Dynasty Warriors 5,2005-09-13,"In Dynasty Warriors 5, you can become a hero in feudal Japan. Combat enemy armies using weapons, mounts, and special attacks. Dynasty Warriors 5 adds new playable characters, weapons, combos, maps, and game modes. Now, maps are larger, and the enemies are smarter. Dynasty Warriors 5 also adds animal teammates and a revamped weapon system to your arsenal to help you conquer 38 newly-designed maps.",66,8.4
13402,Cel Damage,2001-11-14,"PART DEMOLITION DERBY, PART WHACKED-OUT CARTOON COME TO LIFE. *Deathmatch, capture-the-flag and gate racing action *36 wild, over-the-top weapons *10 tough 'toons *4-person split-screen multiplayer *12 interactive cartoon worlds.",65,7.6
13577,Conflict: Desert Storm,2002-09-30,"Conflict: Desert Storm lets you lead one of the best known and most feared special operations forces in the world: the elite British SAS or the US Delta Force. Covert missions take you through hostile environments where only your expertise in stealth, tactics, and firepower will ensure the success and safety of your men. Your missions are as unpredictable as they are dangerous: from vital scud-hunting missions deep within enemy territory to highly secretive rescue and assassination operations in Baghdad itself.",65,8.3
13691,Pac-Man World 3,2005-11-17,The classic gaming character Pac-Man is back for the third iteration of the Pac-Man World series. The game features the classic Pac-Man powers and adds a few new abilities--such as superstomp and electric shock--to assist the yellow-ball-like hero against his ghost foes. You will also be able to take control of two different ghost characters. The game takes place in both 2D and 3D and includes the original Pac-Man arcade game.,65,
13991,Unreal II: The Awakening,2004-02-10,"The Unreal adventure continues with the release of the action shooter Unreal II: The Awakening. Along the outer edge of space, you are plunged into a desperate mission to kill all comers--alien and otherwise--and prevent the awakening of an evil force. Unreal II: The Awakening includes adrenaline-pumping destruction and impressive visuals in both solo levels and team multiplayer combat. Player-controlled vehicles add to the carnage, acting as both transport and heavy weaponry. Now, through scorching heat, over icy terrain, and within eerie alien cities, are you ready to launch into battle?",64,5.5
