index,name,release_date,summary,meta_score,user_review
64,Portal 2,2011-04-19,"Valve is working on a full-length sequel to its award-winning, mind-bending puzzle action game for the Xbox 360 and PC.",95,8.8
151,Fallout 3,2008-10-28,"Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters. Every minute is a fight for survival against the terrors of the outside world – radiation, Super Mutants, and hostile mutated creatures. From Vault-Tec, America's First Choice in Post Nuclear Simulation. Vault 101 - Jewel of the Wastes. For 200 years, Vault 101 has faithfully served the surviving residents of Washington DC and its environs, now known as the Capital Wasteland. Though the global atomic war of 2077 left the US all but destroyed, the residents of Vault 101 enjoy a life free from the constant stress of the outside world. Giant Insects, Raiders, Slavers, and yes, even Super Mutants are all no match for superior Vault-Tec engineering. Yet one fateful morning, you awake to find that your father has defied the Overseer and left the comfort and security afforded by Vault 101 for reasons unknown. Leaving the only home you've ever known, you emerge from the Vault into the harsh Wasteland sun to search for your father, and the truth. [Bethesda Softworks]",93,8.5
480,Super Meat Boy,2010-10-20,Super Meat Boy is a tough as nails platformer where you play as an animated cube of meat who's trying to save his girlfriend (who happens to be made of bandages) from an evil fetus in a jar wearing a tux.,90,8
533,NBA 2K12,2011-10-04,The NBA 2k Franchise is back with NBA 2K12.,90,7.7
546,Borderlands 2,2012-09-18,"Play as one of 4 new vault hunters facing off against a new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a gazillion weapons and fight alongside them in four-player co-op or split-screen on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet.",89,8.3
566,Plants vs. Zombies,2010-09-08,"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks. Obstacles like a setting sun, creeping fog and a swimming pool add to the challenge, and with five game modes to dig into, the fun never dies!",89,8.4
586,Assassin's Creed: Brotherhood,2010-11-16,"The critically acclaimed single-player experience of Assassin's Creed is back and better than ever as Ezio returns in an epic struggle against the powerful Templar Order. Now a legendary Master Assassin, he must journey into Italy's greatest city, Rome, center of power, greed and corruption to strike at the heart of the enemy. Defeating the corrupt tyrants entrenched there will require not only strength, but leadership, as Ezio commands an entire Brotherhood that will rally to his side. Only by working together can the Assassins defeat their mortal enemies.",89,8.4
684,Deus Ex: Human Revolution,2011-08-23,"In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.",89,8.3
918,FIFA Soccer 11,2010-09-28,EA returns to the field with another installment in its long-running soccer series.,88,7.5
941,Battlefield: Bad Company 2 Vietnam,2010-12-21,"Set in the 1960s, this DLC adds 4 new multiplayer maps, 15 new weapons, and six vehicles.",88,8
1051,DiRT 3,2011-05-24,Dirt 3 takes Codemasters' off-road series back to its rallying roots.,87,7.1
1180,Spelunky,2012-07-04,"Spelunky is a platformer with randomized levels that offer a unique and challenging experience each time you engage it. Journey deep underground and explore fantastic places filled with monsters, traps, and treasure. Fully-destructible environments open up an array of strategies and make it a blast to master the game's many secrets.",87,7.3
1409,Dance Central 2,2011-10-25,Dance Central 2 is the sequel to the popular Dance Central game.,86,8.1
1418,Bastion,2011-07-20,Bastion is an action role-playing game from Supergiant Games.,86,8.5
1455,NHL 12,2011-09-13,NHL 12 has players try to become the next legend in hockey.,86,7.1
1491,DJ Hero 2,2010-10-19,Activision's turntable-based rhythm game is coming back for an encore.,86,8.4
1581,Guitar Hero III: Legends of Rock,2007-10-28,"Fire up the fretboard, crank up the amp and get ready to rock like never before. Guitar Hero III: Legends of Rock drops you into the spotlight of the largest and most legendary rock concert ever. The star-studded soundtrack includes master tracks by such legendary artists as Guns N’ Roses, The Rolling Stones, Beastie Boys, Muse and Pearl Jam, with added songs as made legendary by Kiss, Alice Cooper and Heart. Now drop that air guitar, tune your exclusive new Les Paul Guitar Controller and shred the night away with Guitar Hero III: Legends of Rock. [Activision]",85,8.1
1677,Forza Horizon,2012-10-23,"Combining the traditional Forza with a music festival vibe, Horizon promises to take freedom of the open road to the next level. Explore vast and varied driving playgrounds. Team up or compete with friends and rivals online. Show off your unique driving skills and become the star of the world's most rocking motorsport party.",85,8.5
1950,Crysis 2,2011-03-22,"First-person shooter Crysis returns powered by CryEngline 3 and is coming to the PS3 and Xbox 360, as well as the PC.",84,7.6
2109,F1 2012,2012-09-18,"F1 2012 features all of the official teams, drivers and circuits from the 2012 FIA Formula One World Championship.",84,6.8
