Release Year,Number of Releases,platform,Average Meta Score,Average User Review
1995,1, PC,86,8.6000000000000000
1996,11, PC,83.36363636363636,8.2727272727272727
1996,6, PlayStation,87.66666666666667,8.4166666666666667
1996,3, Nintendo 64,88.66666666666667,8.5000000000000000
1997,1, Wii,56,6.5000000000000000
1997,8, Nintendo 64,85.625,8.4125000000000000
1997,8, PlayStation,88.125,8.5875000000000000
1997,11, PC,85.18181818181819,8.5818181818181818
1998,13, PC,86.53846153846153,8.5461538461538462
1998,15, PlayStation,85.93333333333334,8.7400000000000000
1998,14, Nintendo 64,79.07142857142857,7.9642857142857143
1998,1, PlayStation 2,56,7.8000000000000000
1999,24, PlayStation,84.79166666666667,8.5333333333333333
1999,13, PC,85.3076923076923,8.5615384615384615
1999,1, PlayStation 4,43,8.0000000000000000
1999,2, Dreamcast,79,8.3500000000000000
1999,12, Nintendo 64,83.58333333333333,8.3166666666666667
2000,4, PSP,54,7.2000000000000000
2000,2, PlayStation 3,50,6.9000000000000000
2000,1, PlayStation 4,43,7.6000000000000000
2000,2, Wii U,42,5.8000000000000000
2000,1, PlayStation Vita,49,7.5000000000000000
2000,68, Dreamcast,76.45588235294117,8.0044117647058824
2000,22, Nintendo 64,78.63636363636364,8.0454545454545455
2000,3, Xbox 360,48,5.3333333333333333
2000,2, Game Boy Advance,49,6.4000000000000000
2000,4, Switch,47,4.1500000000000000
2000,1, Wii,56,3.3000000000000000
2000,32, PlayStation 2,73.5,7.4406250000000000
2000,50, PlayStation,75.16,7.6640000000000000
2000,114, PC,75.65789473684211,7.6078947368421053
2000,3, Xbox,50,5.6333333333333333
2001,20, GameCube,76.8,7.5700000000000000
2001,48, Game Boy Advance,75.04166666666667,7.7083333333333333
2001,38, PlayStation,70.71052631578948,7.6631578947368421
2001,2, Switch,54,6.4500000000000000
2001,1, Wii U,53,7.4000000000000000
2001,4, Xbox One,49.5,6.7000000000000000
2001,6, Nintendo 64,82,8.4500000000000000
2001,3, Wii,49.333333333333336,6.9000000000000000
2001,32, Xbox,71.3125,7.1656250000000000
2001,2, PlayStation 4,52,7.7000000000000000
2001,5, PlayStation 3,43.8,5.3400000000000000
2001,1, PSP,55,2.5000000000000000
2001,4, DS,50.5,6.1500000000000000
2001,1, 3DS,40,6.8000000000000000
2001,4, Xbox 360,51,6.3750000000000000
2001,41, Dreamcast,76.4390243902439,7.9804878048780488
2001,147, PC,72.72789115646259,7.5061224489795918
2001,125, PlayStation 2,74.616,7.6632000000000000
2001,1, Xbox Series X,45,5.0000000000000000
2002,2, Dreamcast,63.5,6.5500000000000000
2002,166, PC,71.27710843373494,7.3036144578313253
2002,1, Wii U,50,7.0000000000000000
2002,62, Game Boy Advance,73.6774193548387,7.3661290322580645
2002,2, PSP,47.5,6.0000000000000000
2002,8, PlayStation 3,51.125,5.9250000000000000
2002,179, PlayStation 2,71.87150837988827,7.6798882681564246
2002,7, PlayStation,69.28571428571429,7.7428571428571429
2002,3, Xbox One,50.333333333333336,6.6333333333333333
2002,5, DS,48,6.7000000000000000
2002,103, GameCube,74.0873786407767,7.5893203883495146
2002,7, Xbox 360,49.857142857142854,6.3000000000000000
2002,4, 3DS,53.75,6.9500000000000000
2002,8, PlayStation 4,51.25,6.5000000000000000
2002,2, Wii,49,6.4000000000000000
2002,104, Xbox,74.875,7.3923076923076923
2002,3, Switch,53.333333333333336,5.7666666666666667
2003,2, PlayStation,52,6.8000000000000000
2003,7, Wii,48.857142857142854,7.0714285714285714
2003,1, Stadia,48,7.8000000000000000
2003,5, PlayStation 3,49.6,5.5600000000000000
2003,1, Dreamcast,55,5.5000000000000000
2003,147, Xbox,72.10884353741497,7.2938775510204082
2003,2, 3DS,48,6.9000000000000000
2003,1, Nintendo 64,55,7.6000000000000000
2003,181, PC,72.25414364640883,7.4508287292817680
2003,2, PlayStation 4,50,7.0500000000000000
2003,2, Switch,47,6.7000000000000000
2003,7, Xbox 360,46.42857142857143,6.0857142857142857
2003,3, PSP,51.333333333333336,5.8333333333333333
2003,1, PlayStation Vita,55,7.5000000000000000
2003,3, Xbox One,49,6.3666666666666667
2003,192, PlayStation 2,72.77083333333333,7.9130208333333333
2003,3, DS,54.333333333333336,6.4666666666666667
2003,75, Game Boy Advance,73.62666666666667,7.8613333333333333
2003,93, GameCube,73.38709677419355,7.5806451612903226
2004,8, PlayStation 4,49.125,6.6375000000000000
2004,127, Xbox,74.40944881889764,7.5149606299212598
2004,192, PlayStation 2,71.90104166666667,7.8739583333333333
2004,3, Switch,50.666666666666664,7.4000000000000000
2004,1, PlayStation,49,4.8000000000000000
2004,159, PC,71.55974842767296,7.2226415094339623
2004,1, Dreamcast,41,3.9000000000000000
2004,4, Wii,51.75,7.5500000000000000
2004,5, PlayStation 3,47,5.5600000000000000
2004,12, Xbox 360,49.5,6.1166666666666667
2004,64, Game Boy Advance,69.3125,7.7203125000000000
2004,15, DS,59.06666666666667,6.7666666666666667
2004,5, PSP,52.4,6.3400000000000000
2004,1, 3DS,46,3.4000000000000000
2004,2, PlayStation 5,53.5,4.8000000000000000
2004,66, GameCube,73.87878787878788,7.7136363636363636
2004,1, PlayStation Vita,47,5.3000000000000000
2004,1, Nintendo 64,53,8.6000000000000000
2005,1, PlayStation Vita,48,4.7000000000000000
2005,4, PlayStation 3,50,7.5000000000000000
2005,9, PlayStation 4,49.111111111111114,5.3666666666666667
2005,3, Switch,42.666666666666664,3.5000000000000000
2005,6, Xbox One,51.666666666666664,5.4666666666666667
2005,39, Game Boy Advance,70.38461538461539,7.7153846153846154
2005,11, Wii,47.72727272727273,5.8727272727272727
2005,65, GameCube,72.4,7.5938461538461538
2005,54, DS,70.75925925925925,7.5296296296296296
2005,183, PlayStation 2,71.35519125683061,7.8431693989071038
2005,139, Xbox,74.23741007194245,7.4035971223021583
2005,1, Dreamcast,48,6.7000000000000000
2005,1, 3DS,47,7.5000000000000000
2005,163, PC,70.88957055214723,6.9638036809815951
2005,69, PSP,70.6376811594203,7.5275362318840580
2005,48, Xbox 360,67.35416666666667,6.9083333333333333
2006,2, PlayStation,52,5.1500000000000000
2006,73, DS,66.6986301369863,7.1575342465753425
2006,58, Xbox,72.70689655172414,7.2655172413793103
2006,105, PSP,70.18095238095238,7.4838095238095238
2006,148, PlayStation 2,68.44594594594595,7.5689189189189189
2006,2, Wii U,46,5.8000000000000000
2006,32, GameCube,67.84375,7.5625000000000000
2006,102, Xbox 360,69.01960784313725,6.9323529411764706
2006,32, Wii,63.9375,6.8531250000000000
2006,7, Switch,52,6.5000000000000000
2006,22, PlayStation 3,66.27272727272727,7.0863636363636364
2006,6, Xbox One,50.166666666666664,5.0500000000000000
2006,181, PC,69.08839779005525,7.2685082872928177
2006,4, 3DS,47.5,6.0000000000000000
2006,9, PlayStation 4,47.22222222222222,6.7555555555555556
2006,22, Game Boy Advance,68.13636363636364,7.7590909090909091
2007,4, Switch,52.75,6.1500000000000000
2007,20, PlayStation 4,49.75,6.5550000000000000
2007,90, PlayStation 3,72.86666666666666,6.9677777777777778
2007,111, DS,67.78378378378379,7.1657657657657658
2007,81, PSP,68.18518518518519,7.1851851851851852
2007,8, Xbox One,49.875,6.2750000000000000
2007,1, PlayStation,53,3.5000000000000000
2007,4, GameCube,51.25,5.5250000000000000
2007,95, PlayStation 2,66.25263157894737,7.3284210526315789
2007,153, Xbox 360,70.59477124183006,7.1477124183006536
2007,8, Xbox,50.5,5.6125000000000000
2007,166, PC,69.77710843373494,7.1018072289156627
2007,5, Game Boy Advance,63.8,6.8000000000000000
2007,95, Wii,63.421052631578945,6.8263157894736842
2007,2, PlayStation Vita,47.5,5.3000000000000000
2007,2, Wii U,51.5,6.7500000000000000
2007,3, 3DS,50.666666666666664,5.9333333333333333
2008,1, PlayStation,53,6.1000000000000000
2008,1, PlayStation Vita,54,6.0000000000000000
2008,159, PC,68.66666666666667,6.8496855345911950
2008,4, GameCube,50,6.2500000000000000
2008,4, 3DS,44.25,5.7750000000000000
2008,2, Xbox One,55,5.8000000000000000
2008,5, Switch,48.2,5.1600000000000000
2008,106, DS,68.39622641509433,7.3641509433962264
2008,171, Xbox 360,70.73684210526316,7.2807017543859649
2008,126, Wii,69.12698412698413,7.2746031746031746
2008,38, PSP,72.28947368421052,7.5184210526315789
2008,8, Game Boy Advance,51,6.0000000000000000
2008,2, Wii U,51.5,5.2500000000000000
2008,62, PlayStation 2,61.483870967741936,6.9403225806451613
2008,17, PlayStation 4,50.23529411764706,5.5470588235294118
2008,7, Xbox,48.142857142857146,6.8714285714285714
2008,131, PlayStation 3,71.97709923664122,7.0145038167938931
2009,2, Game Boy Advance,49,5.4500000000000000
2009,1, 3DS,45,3.0000000000000000
2009,151, PlayStation 3,72.8476821192053,7.1562913907284768
2009,6, Xbox One,49.666666666666664,5.9666666666666667
2009,128, Wii,71,7.4015625000000000
2009,96, DS,70.13541666666667,7.1781250000000000
2009,24, PlayStation 2,59.625,6.5625000000000000
2009,181, Xbox 360,71.4696132596685,7.1657458563535912
2009,4, GameCube,46,5.6000000000000000
2009,1, PlayStation,54,7.0000000000000000
2009,58, PSP,71.75862068965517,7.1431034482758621
2009,1, PlayStation Vita,47,6.4000000000000000
2009,10, PlayStation 4,48.8,6.1200000000000000
2009,1, Wii U,42,6.1000000000000000
2009,189, PC,69.31216931216932,6.8052910052910053
2009,7, Switch,49.57142857142857,4.7571428571428571
2009,6, Xbox,49.166666666666664,6.6500000000000000
2010,47, PSP,72.27659574468085,7.5787234042553191
2010,2, GameCube,49,6.0000000000000000
2010,92, Wii,71.73913043478261,7.6586956521739130
2010,10, PlayStation 2,55.3,6.5700000000000000
2010,13, PlayStation 4,47.23076923076923,5.6153846153846154
2010,158, PC,71.4113924050633,6.8734177215189873
2010,1, Xbox Series X,55,7.0000000000000000
2010,1, Wii U,53,5.5000000000000000
2010,61, DS,72.24590163934427,7.4278688524590164
2010,176, PlayStation 3,72.76704545454545,7.0045454545454545
2010,5, Switch,48,6.4400000000000000
2010,1, PlayStation 5,55,5.4000000000000000
2010,8, Xbox,47,6.4375000000000000
2010,3, Xbox One,46.666666666666664,5.7666666666666667
2010,210, Xbox 360,71.25714285714285,7.1861904761904762
2010,1, PlayStation,47,7.7000000000000000
2011,190, PC,70.51052631578948,6.6073684210526316
2011,209, Xbox 360,72.02870813397129,6.9870813397129187
2011,1, PlayStation Vita,43,1.40000000000000000000
2011,5, Xbox One,51.6,5.6200000000000000
2011,5, Game Boy Advance,49,5.4400000000000000
2011,2, Nintendo 64,43,3.6000000000000000
2011,214, PlayStation 3,72.40186915887851,6.9028037383177570
2011,1, PlayStation,41,4.1000000000000000
2011,10, PlayStation 4,51.9,6.3800000000000000
2011,3, Switch,47,5.3333333333333333
2011,55, 3DS,68.6,6.8072727272727273
2011,7, PlayStation 2,51,5.7428571428571429
2011,31, DS,68.96774193548387,7.2000000000000000
2011,4, GameCube,52.25,5.6750000000000000
2011,11, Xbox,51.09090909090909,5.4636363636363636
2011,29, PSP,68.03448275862068,6.8551724137931034
2011,46, Wii,67.76086956521739,7.0304347826086957
2011,1, PlayStation 5,53,5.4000000000000000
2012,12, PlayStation 2,50.416666666666664,4.7833333333333333
2012,159, PlayStation 3,73.43396226415095,6.9352201257861635
2012,208, PC,71.14423076923077,6.8129807692307692
2012,3, Game Boy Advance,49.666666666666664,5.5333333333333333
2012,61, PlayStation Vita,72.80327868852459,7.1721311475409836
2012,4, GameCube,53.25,5.4250000000000000
2012,15, DS,59.2,6.4000000000000000
2012,1, Xbox One,51,6.3000000000000000
2012,197, Xbox 360,71.84771573604061,6.8111675126903553
2012,2, Nintendo 64,46,4.8000000000000000
2012,8, PlayStation 4,49.375,5.6125000000000000
2012,6, PSP,68.33333333333333,6.8500000000000000
2012,4, Xbox,49.25,5.7500000000000000
2012,52, 3DS,71.8076923076923,7.2019230769230769
2012,1, Dreamcast,54,6.6000000000000000
2012,29, Wii U,71.79310344827586,6.9241379310344828
2012,4, Switch,51.75,6.0250000000000000
2012,15, Wii,65.66666666666667,7.0600000000000000
2012,1, PlayStation,50,5.3000000000000000
2013,42, Wii U,76.0952380952381,7.5071428571428571
2013,130, Xbox 360,71.49230769230769,6.6161538461538462
